week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	West Ham	West Brom	1	-1	D	1	0	H	M Atkinson	17	7	6	3	15	16	5	2	0	2	0	0	2.05	3.5	4	2.05	3.25	3.6	2	3.3	3.6	2.05	3.4	3.8	2.1	3.41	3.98	2.05	3.3	3.75	2.1	3.4	4	49	2.1	2.05	3.5	3.33	4.05	3.83	43	2.28	2.16	1.82	1.69	29	-0.5	2.1	2.04	1.87	1.83	2.13	3.35	3.96
15	E0	5/12/15	Man United	West Ham	0	0	D	0	0	D	M Clattenburg	21	9	1	2	9	13	6	2	1	0	0	0	1.44	4.5	9	1.44	4.33	8	1.4	4.4	7.3	1.4	4.33	8.5	1.43	4.7	9.06	1.44	3.8	9	1.44	4.5	9	47	1.46	1.43	4.8	4.38	9.23	8.4	42	2.06	1.97	1.91	1.83	28	-1	1.75	1.7	2.26	2.2	1.46	4.68	8.18
16	E0	12/12/15	West Ham	Stoke	0	0	D	0	0	D	A Marriner	22	12	9	3	7	9	11	7	1	2	0	0	2.63	3.3	2.9	2.65	3.1	2.9	2.5	3.3	2.65	2.5	3.1	2.8	2.63	3.33	2.94	2.62	3.1	2.8	2.6	3.25	3	50	2.66	2.55	3.4	3.19	3	2.89	43	2.26	2.18	1.77	1.67	27	0	1.86	1.82	2.09	2.04	2.59	3.25	3.07
17	E0	20/12/15	Swansea	West Ham	0	0	D	0	0	D	L Mason	21	11	2	2	6	9	8	9	0	1	0	0	2.1	3.4	3.9	2.1	3.25	3.5	2.1	3.3	3.3	2.05	3.25	3.75	2.1	3.46	3.92	2.15	3.25	3.5	2.15	3.3	3.9	47	2.15	2.07	3.5	3.35	4	3.74	42	2.24	2.13	1.77	1.7	28	-0.5	2.1	2.05	1.86	1.82	2.07	3.44	4.08
18	E0	26/12/15	Aston Villa	West Ham	1	-1	D	0	1	A	M Dean	5	10	8	4	14	13	9	6	3	3	0	0	2.63	3.25	2.75	2.65	3.25	2.75	2.65	3.3	2.5	2.6	3.1	2.8	2.66	3.29	2.94	2.7	3.1	2.7	2.7	3.2	2.9	48	2.7	2.63	3.3	3.15	2.94	2.83	42	2.36	2.28	1.67	1.62	28	0	1.9	1.86	2.07	1.99	2.53	3.23	3.17
19	E0	28/12/15	West Ham	Southampton	2	-1	H	0	1	A	M Oliver	13	15	5	4	6	12	4	7	1	3	0	0	3.6	3.4	2.2	3.25	3.3	2.2	2.9	3.3	2.3	3.3	3.25	2.2	3.57	3.41	2.24	3.4	3.2	2.2	3.6	3.3	2.25	50	3.6	3.44	3.41	3.26	2.3	2.22	43	2.3	2.18	1.74	1.67	29	0.25	2.01	1.96	1.95	1.9	3.64	3.41	2.21
20	E0	2/1/16	West Ham	Liverpool	2	0	H	1	0	H	R Madley	18	23	10	2	11	8	3	9	1	1	0	0	4	3.5	2.05	3.8	3.4	2.05	3.3	3.3	2.1	3.8	3.4	2	3.97	3.62	2.03	3.8	3.4	2	4.1	3.4	2.05	48	4.1	3.86	3.62	3.42	2.1	2.01	43	2.13	2.06	1.81	1.75	29	0.5	1.91	1.86	2.05	2	4.28	3.55	1.98
21	E0	12/1/16	Bournemouth	West Ham	1	-3	A	1	0	H	M Atkinson	11	10	4	5	8	5	4	7	1	1	0	0	2	3.6	4	2	3.4	3.9	2.1	3.3	3.3	1.95	3.4	3.8	2.01	3.65	4.02	2	3.4	3.8	1.95	3.75	4.1	48	2.1	1.98	3.75	3.51	4.15	3.9	43	2.11	2.02	1.85	1.79	28	-0.25	1.75	1.71	2.26	2.2	2.03	3.62	3.98
22	E0	16/01/16	Newcastle	West Ham	2	-1	H	2	0	H	N Swarbrick	23	10	10	3	9	4	3	3	1	0	0	0	2.5	3.4	3	2.55	3.2	2.9	2.6	3.2	2.6	2.4	3.3	2.88	2.55	3.5	2.92	2.62	3.1	2.75	2.55	3.4	3	44	2.62	2.5	3.55	3.34	3	2.86	42	2.02	1.95	1.94	1.85	27	-0.25	2.21	2.13	1.8	1.76	2.39	3.38	3.27
23	E0	23/01/16	West Ham	Man City	2	-2	D	1	1	D	C Pawson	10	16	3	3	11	15	5	2	2	3	0	0	5	4	1.73	4.6	4	1.72	4.7	3.6	1.7	4.75	3.8	1.67	5.19	4.09	1.71	5	3.6	1.73	5.4	3.8	1.73	45	5.4	4.98	4.1	3.87	1.74	1.7	39	1.77	1.71	2.21	2.12	27	0.75	2.05	1.98	1.95	1.88	5	4.22	1.71
