week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	Tottenham	Chelsea	0	0	D	0	0	D	M Oliver	9	5	4	1	14	9	4	4	4	2	0	0	2.6	3.4	2.9	2.6	3.1	2.9	2.6	3.2	2.6	2.6	3.4	2.8	2.58	3.49	2.89	2.5	3.2	2.9	2.55	3.5	2.88	48	2.6	2.54	3.5	3.34	2.94	2.81	43	1.96	1.88	1.99	1.92	27	-0.25	2.23	2.17	1.78	1.73	2.66	3.39	2.86
15	E0	5/12/15	West Brom	Tottenham	1	-1	D	1	1	D	J Moss	11	9	4	3	13	10	3	6	3	2	0	0	4.75	3.6	1.85	3.9	3.4	1.91	3.8	3.45	1.9	4.33	3.5	1.83	4.75	3.69	1.85	4.5	3.1	1.91	4.8	3.4	1.9	47	4.8	4.45	3.69	3.5	1.91	1.86	41	2.21	2.15	1.76	1.69	27	0.5	2.09	2.02	1.87	1.84	4.8	3.86	1.81
16	E0	13/12/15	Tottenham	Newcastle	1	-2	A	1	0	H	R East	20	8	8	4	13	14	6	2	2	2	0	0	1.36	5.5	9				1.4	4.4	7.3	1.36	5	8	1.39	5.32	9	1.4	4.33	9	1.36	5.4	9.5	50	1.4	1.37	5.5	4.96	9.5	8.4	39	1.62	1.57	2.46	2.35	30	-1.5	2.1	2.03	1.88	1.83	1.37	5.54	9.01
17	E0	19/12/15	Southampton	Tottenham	0	-2	A	0	2	A	K Friend	11	13	4	6	18	9	4	7	1	1	0	0	2.7	3.4	2.8	2.6	3.3	2.6	2.6	3.2	2.6	2.5	3.3	2.75	2.66	3.44	2.83	2.7	3.1	2.7	2.63	3.4	2.88	49	2.71	2.62	3.48	3.27	2.88	2.77	44	2.12	2	1.89	1.8	27	0	1.91	1.87	2.04	1.99	2.72	3.33	2.85
18	E0	26/12/15	Tottenham	Norwich	3	0	H	2	0	H	M Jones	15	11	10	3	4	13	9	4	1	2	0	0	1.4	4.75	8	1.42	4.4	7	1.45	4	7	1.4	4.5	7.5	1.46	4.77	8	1.44	4.2	8	1.44	4.8	8.5	48	1.48	1.43	4.86	4.55	8.5	7.7	42	1.75	1.68	2.3	2.15	30	-1	1.74	1.69	2.3	2.23	1.47	4.54	8.4
19	E0	28/12/15	Watford	Tottenham	1	-2	A	1	1	D	A Taylor	9	10	1	3	11	13	5	3	4	2	1	0	3.75	3.5	2.1	3.5	3.3	2.15	3.3	3.3	2.1	3.6	3.3	2.05	3.92	3.55	2.07	3.5	3.25	2.15	3.9	3.4	2.1	51	3.92	3.65	3.55	3.42	2.15	2.08	45	2.11	2.03	1.83	1.77	30	0.5	1.88	1.82	2.09	2.05	3.28	3.32	2.42
20	E0	3/1/16	Everton	Tottenham	1	-1	D	1	1	D	M Oliver	12	19	3	4	8	11	4	4	1	2	0	0	2.8	3.5	2.63	2.7	3.4	2.6	2.6	3.2	2.6	2.62	3.4	2.6	2.78	3.59	2.62	2.7	3.1	2.7	2.75	3.6	2.6	48	2.82	2.71	3.6	3.4	2.7	2.59	43	1.8	1.73	2.19	2.08	28	0.25	1.75	1.7	2.28	2.21	2.59	3.46	2.9
21	E0	13/01/16	Tottenham	Leicester	0	-1	A	0	0	D	L Mason	21	10	5	2	13	10	16	8	1	0	0	0	1.75	3.8	5.25	1.75	3.8	4.6	1.75	3.5	4.5	1.73	3.6	4.75	1.75	3.95	5.09	1.8	3.5	4.5	1.75	3.9	5	47	1.8	1.75	4.02	3.75	5.25	4.78	42	1.9	1.82	2.07	1.99	27	-0.5	1.78	1.74	2.21	2.16	1.86	3.68	4.72
22	E0	16/01/16	Tottenham	Sunderland	4	-1	H	1	1	D	M Dean	26	5	11	2	8	13	11	3	0	2	0	0	1.36	5.25	9.5	1.36	5	8.5	1.37	4.6	7.5	1.35	4.75	9	1.35	5.48	10.2	1.4	4	10	1.36	5.4	10	44	1.4	1.35	5.5	5	10.62	9.24	41	1.73	1.66	2.33	2.2	29	-1.5	2.05	2	1.92	1.86	1.36	5.49	9.45
23	E0	23/01/16	Crystal Palace	Tottenham	1	-3	A	1	0	H	M Atkinson	11	24	3	11	11	12	3	10	2	2	0	0	3.6	3.5	2.15	3.4	3.2	2.15	3.2	3.2	2.2	3.5	3.2	2.15	3.63	3.4	2.22	3.3	3.3	2.2	3.6	3.4	2.2	46	3.63	3.48	3.5	3.3	2.25	2.18	40	2.29	2.17	1.8	1.69	27	0.25	2.11	2.04	1.9	1.84	3.65	3.51	2.17
24	E0	2/2/16	Norwich	Tottenham	0	-3	A	0	2	A	K Friend	10	17	2	6	8	9	6	8	2	2	0	0	4.5	3.75	1.85	4.25	3.4	1.85	3.8	3.45	1.9	4.2	3.6	1.83	4.57	3.79	1.85	4.5	3.4	1.83	4.75	3.75	1.83	48	4.8	4.37	3.88	3.64	1.9	1.84	42	1.97	1.89	1.97	1.91	31	0.75	1.83	1.79	2.14	2.08	5.08	3.98	1.75
25	E0	6/2/16	Tottenham	Watford	1	0	H	0	0	D	R East	26	3	9	0	12	9	15	1	0	1	0	0	1.5	4.33	8	1.5	4	6.5	1.5	4	6.1	1.48	4	7	1.51	4.39	7.73	1.5	4	7	1.5	4.33	8	44	1.54	1.49	4.4	4.22	8	7.19	37	1.96	1.87	1.97	1.91	28	-1	1.87	1.82	2.1	2.04	1.52	4.4	7.38
26	E0	14/02/16	Man City	Tottenham	1	-2	A	0	0	D	M Clattenburg	19	6	4	3	12	17	7	1	1	3	0	0	2.1	3.75	3.6	2.1	3.5	3.6	1.9	3.45	3.8	2.05	3.4	3.5	2.06	3.66	3.82	2.1	3.3	3.6	2.05	3.6	3.9	45	2.1	2.06	3.79	3.53	3.9	3.61	38	1.78	1.72	2.2	2.11	28	-0.25	1.81	1.79	2.18	2.09	2.15	3.44	3.78
27	E0	28/02/16	Tottenham	Swansea	2	-1	H	0	1	A	M Jones	34	10	14	4	11	14	7	7	2	3	0	0	1.4	4.2	9	1.45	3.9	8	1.45	4	7	1.44	4	8	1.48	4.5	8.27	1.44	4.2	7.5	1.45	4.5	8	44	1.5	1.45	4.6	4.27	9	7.83	36	2.06	1.96	1.88	1.83	29	-1.5	2.49	2.39	1.65	1.6	1.5	4.22	8.62
28	E0	2/3/16	West Ham	Tottenham	1	0	H	1	0	H	A Marriner	14	9	3	2	10	11	6	3	0	3	0	0	4	3.6	2	3.7	3.3	2	3.6	3.3	2	3.8	3.5	2.05	4.03	3.64	2.01	4	3.2	2	4	3.5	2.05	47	4.1	3.89	3.64	3.47	2.06	1.99	39	2.05	1.97	1.88	1.82	29	0.25	2.25	2.18	1.76	1.72	3.6	3.38	2.24
29	E0	5/3/16	Tottenham	Arsenal	2	-2	D	0	1	A	M Oliver	26	10	11	4	9	10	9	2	2	2	0	1	2.38	3.4	3.25	2.35	3.4	2.85	2.5	3.2	2.75	2.3	3.3	3	2.39	3.54	3.13	2.4	3.1	3.1	2.38	3.6	3.1	47	2.5	2.36	3.62	3.38	3.25	3.08	40	1.86	1.8	2.11	2	30	-0.25	2.08	2.02	1.9	1.85	2.31	3.51	3.29
30	E0	13/03/16	Aston Villa	Tottenham	0	-2	A	0	1	A	A Taylor	11	19	2	8	6	6	5	8	0	0	0	0	7.5	4.5	1.5	7	4.2	1.45	6.1	4	1.5	7	4.2	1.48	7.27	4.41	1.52	7	4	1.5	7	4.4	1.5	45	7.75	6.97	4.5	4.26	1.53	1.49	37	1.98	1.9	1.97	1.89	30	1	2.08	2.03	1.88	1.83	7.45	4.5	1.51
31	E0	20/03/16	Tottenham	Bournemouth	3	0	H	2	0	H	N Swarbrick	17	2	8	0	11	6	4	5	0	1	0	0	1.53	4.33	7	1.5	4.33	5.75	1.5	4	6.1	1.53	4	6	1.56	4.41	6.57	1.57	3.75	6.5	1.53	4.4	7	46	1.57	1.53	4.5	4.24	7	6.2	38	1.8	1.73	2.23	2.09	31	-1	1.96	1.88	2.04	1.98	1.52	4.31	7.55
32	E0	2/4/16	Liverpool	Tottenham	1	-1	D	0	0	D	J Moss	15	18	7	5	11	11	12	9	2	0	0	0	2.5	3.4	3	2.45	3.3	2.8	2.4	3.3	2.75	2.6	3.3	2.9	2.49	3.5	3.01	2.6	3	2.9	2.5	3.4	3	44	2.6	2.47	3.5	3.34	3.03	2.91	39	2.02	1.93	1.95	1.87	28	0	1.81	1.77	2.18	2.1	2.15	3.56	3.66
33	E0	10/4/16	Tottenham	Man United	3	0	H	0	0	D	M Dean	16	5	8	1	10	10	2	7	3	3	0	0	1.91	3.5	4	1.91	3.3	4.1	2.1	3.3	3.3	1.91	3.4	4	1.92	3.65	4.44	1.95	3.5	3.8	1.93	3.6	4.2	46	2.1	1.91	3.65	3.5	4.44	4.13	37	2.17	2.1	1.8	1.72	28	-0.5	1.95	1.89	2.02	1.97	2	3.54	4.2
34	E0	18/04/16	Stoke	Tottenham	0	-4	A	0	1	A	N Swarbrick	12	23	2	6	12	12	5	3	2	0	0	0	4.5	3.75	1.85	4.1	3.5	1.85	4	3.45	1.85	4.5	3.6	1.85	4.81	3.74	1.83	4.5	3.4	1.85	5	3.7	1.8	47	5	4.46	3.8	3.62	1.88	1.82	39	2.04	1.96	1.9	1.83	27	0.75	1.86	1.81	2.12	2.05	5.02	4	1.75
35	E0	25/04/16	Tottenham	West Brom	1	-1	D	1	0	H	M Jones	19	16	2	3	8	13	9	7	0	1	0	0	1.22	7	15	1.25	5.5	12	1.25	5.5	10.3	1.25	6	15	1.24	6.82	15.4	1.25	5.5	13	1.25	6.25	15	45	1.25	1.22	7	6.19	17	14.03	37	1.74	1.67	2.3	2.17	28	-1.75	1.91	1.86	2.05	1.98	1.24	6.9	15.25
36	E0	2/5/16	Chelsea	Tottenham	2	-2	D	0	2	A	M Clattenburg	13	16	5	5	9	20	7	8	3	9	0	0	2.75	3.6	2.63	2.65	3.5	2.6	2.6	3.2	2.6	2.62	3.4	2.6	2.72	3.56	2.69	2.75	3.1	2.7	2.75	3.6	2.63	45	2.75	2.68	3.6	3.43	2.7	2.59	37	1.85	1.78	2.09	2.01	27	0.25	1.73	1.69	2.33	2.21	2.58	3.56	2.85
37	E0	8/5/16	Tottenham	Southampton	1	-2	A	1	1	D	J Moss	20	10	6	2	8	16	10	2	0	3	0	0	2.05	3.6	3.9	1.91	3.6	3.7	1.9	3.45	3.8	2	3.6	4	2.03	3.71	3.88	1.91	3.4	4	2	3.7	3.9	48	2.05	1.98	3.75	3.58	4	3.78	38	1.83	1.77	2.12	2.04	29	-0.5	2.03	1.99	1.92	1.87	2.25	3.44	3.49
38	E0	15/05/16	Newcastle	Tottenham	5	-1	H	2	0	H	A Taylor	19	17	10	5	7	6	3	8	1	2	1	0	4.5	4	1.8	4.1	3.7	1.8	4.5	3.5	1.75	4.33	4	1.8	4.54	4.16	1.79	4.5	3.4	1.83	4.6	4	1.75	50	4.6	4.38	4.16	3.84	1.85	1.78	36	1.7	1.65	2.34	2.21	30	0.75	1.94	1.89	2.01	1.97	5.3	4.18	1.69
