week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Crystal Palace	Newcastle	5	-1	H	3	1	H	S Attwell	19	7	8	2	7	13	7	5	1	1	0	0	1.7	3.9	5.5	1.72	3.8	4.4	1.75	3.5	4.5	1.7	3.8	5.5	1.69	4.04	5.53	1.73	3.5	5	1.7	4	5.5	49	1.75	1.69	4.04	3.83	5.53	5.09	43	1.87	1.78	2.16	2.02	29	-0.75	1.9	1.87	2.05	1.99	1.71	4.1	5.17
15	E0	6/12/15	Newcastle	Liverpool	2	0	H	0	0	D	A Marriner	6	10	1	1	6	10	2	7	3	1	0	0	5.75	4.33	1.62	5.5	4	1.62	5.4	3.7	1.6	5.25	4	1.57	5.75	4.35	1.62	5.5	3.75	1.62	6	4.2	1.62	47	6	5.58	4.43	4.1	1.65	1.6	41	1.8	1.73	2.2	2.08	29	1	1.88	1.85	2.08	2.01	6.4	4.48	1.56
16	E0	13/12/15	Tottenham	Newcastle	1	-2	A	1	0	H	R East	20	8	8	4	13	14	6	2	2	2	0	0	1.36	5.5	9				1.4	4.4	7.3	1.36	5	8	1.39	5.32	9	1.4	4.33	9	1.36	5.4	9.5	50	1.4	1.37	5.5	4.96	9.5	8.4	39	1.62	1.57	2.46	2.35	30	-1.5	2.1	2.03	1.88	1.83	1.37	5.54	9.01
17	E0	19/12/15	Newcastle	Aston Villa	1	-1	D	1	0	H	M Atkinson	8	10	4	7	9	14	3	7	1	3	0	0	2.05	3.5	4	2.05	3.3	3.6	2	3.3	3.6	1.95	3.4	4	2.03	3.58	4.02	2	3.2	4	2	3.5	4.1	48	2.05	2	3.6	3.41	4.1	3.91	44	2.11	2.01	1.85	1.79	28	-0.5	2.04	1.99	1.93	1.88	2.01	3.55	4.15
18	E0	26/12/15	Newcastle	Everton	0	-1	A	0	0	D	L Mason	10	20	1	7	16	12	1	7	2	2	0	0	3.2	3.5	2.2	3.1	3.5	2.25	2.9	3.3	2.3	3.1	3.5	2.15	3.37	3.58	2.25	3.25	3.3	2.25	3.3	3.5	2.3	49	3.4	3.24	3.65	3.45	2.3	2.22	43	1.81	1.74	2.13	2.07	29	0.25	2.03	1.96	1.94	1.89	3.62	3.61	2.14
19	E0	28/12/15	West Brom	Newcastle	1	0	H	0	0	D	M Jones	22	7	5	2	7	13	18	6	0	0	0	0	2.2	3.25	3.75	2.2	3.25	3.2	2.1	3.3	3.3	2.1	3.2	3.6	2.18	3.35	3.8	2.25	3.2	3.3	2.2	3.3	3.8	51	2.25	2.16	3.4	3.26	3.85	3.58	45	2.3	2.2	1.75	1.66	30	-0.25	1.9	1.85	2.07	2.02	2.16	3.34	3.87
20	E0	2/1/16	Arsenal	Newcastle	1	0	H	0	0	D	A Taylor	16	15	3	6	10	9	7	4	2	2	0	0	1.29	6.5	11	1.28	5.5	11	1.3	5	9	1.25	5.75	12	1.27	6.47	12.81	1.3	5	11	1.29	6	12	48	1.3	1.27	6.5	5.87	12.81	11.2	39	1.53	1.49	2.74	2.56	30	-1.5	1.81	1.76	2.18	2.11	1.24	7.25	12.75
21	E0	12/1/16	Newcastle	Man United	3	-3	D	1	2	A	M Dean	14	12	6	4	10	12	5	3	1	3	0	0	5	3.7	1.8	5	3.6	1.75	4.2	3.5	1.8	5	3.5	1.8	5.05	3.8	1.79	5	3.3	1.8	5	3.7	1.8	48	5.25	4.87	3.83	3.62	1.8	1.78	42	2.2	2.12	1.79	1.72	28	1	1.62	1.59	2.53	2.44	4.88	3.64	1.85
22	E0	16/01/16	Newcastle	West Ham	2	-1	H	2	0	H	N Swarbrick	23	10	10	3	9	4	3	3	1	0	0	0	2.5	3.4	3	2.55	3.2	2.9	2.6	3.2	2.6	2.4	3.3	2.88	2.55	3.5	2.92	2.62	3.1	2.75	2.55	3.4	3	44	2.62	2.5	3.55	3.34	3	2.86	42	2.02	1.95	1.94	1.85	27	-0.25	2.21	2.13	1.8	1.76	2.39	3.38	3.27
23	E0	23/01/16	Watford	Newcastle	2	-1	H	0	0	D	A Marriner	13	11	5	2	10	12	2	7	2	1	0	0	2.05	3.5	4	2.1	3.4	3.3	2	3.3	3.6	2	3.4	3.6	2.07	3.54	3.93	2.1	3.2	3.75	2.1	3.5	3.8	46	2.1	2.05	3.54	3.39	4	3.75	40	2.15	2.07	1.8	1.74	27	-0.5	2.1	2.04	1.9	1.82	2.02	3.66	3.98
