week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Man City	Southampton	3	-1	H	2	0	H	R East	16	12	9	8	14	11	6	4	2	1	0	0	1.6	4.33	6	1.6	4.2	5.25	1.5	4	6.1	1.57	4.33	6	1.58	4.4	6.28	1.57	3.8	6	1.57	4.4	6.25	49	1.6	1.57	4.4	4.19	6.58	5.9	43	1.71	1.65	2.32	2.23	31	-1	1.98	1.93	2	1.92	1.57	4.4	6.37
15	E0	5/12/15	Southampton	Aston Villa	1	-1	D	0	1	A	A Taylor	23	9	5	2	4	9	10	4	1	2	0	0	1.5	4.5	7.5	1.5	4.25	6	1.45	4	7	1.5	4	7	1.52	4.37	7.57	1.53	3.6	7.5	1.53	4.2	7.5	47	1.53	1.49	4.5	4.17	7.57	7.13	42	2	1.93	1.95	1.87	29	-1	1.88	1.83	2.09	2.03	1.5	4.55	7.4
16	E0	12/12/15	Crystal Palace	Southampton	1	0	H	1	0	H	M Dean	12	15	5	3	11	13	8	5	0	0	0	0	2.6	3.3	3	2.6	3.25	2.65	2.5	3.2	2.75	2.5	3.2	2.9	2.55	3.32	3.06	2.5	3.1	3	2.55	3.3	3	50	2.6	2.52	3.4	3.22	3.06	2.92	44	2.22	2.11	1.79	1.72	27	0	1.83	1.79	2.15	2.07	2.45	3.41	3.14
17	E0	19/12/15	Southampton	Tottenham	0	-2	A	0	2	A	K Friend	11	13	4	6	18	9	4	7	1	1	0	0	2.7	3.4	2.8	2.6	3.3	2.6	2.6	3.2	2.6	2.5	3.3	2.75	2.66	3.44	2.83	2.7	3.1	2.7	2.63	3.4	2.88	49	2.71	2.62	3.48	3.27	2.88	2.77	44	2.12	2	1.89	1.8	27	0	1.91	1.87	2.04	1.99	2.72	3.33	2.85
18	E0	26/12/15	Southampton	Arsenal	4	0	H	1	0	H	J Moss	15	7	5	4	10	9	3	4	1	0	0	0	3.6	3.5	2.05	3.5	3.5	2.1	3.3	3.3	2.1	3.4	3.4	2.1	3.6	3.53	2.18	3.6	3.3	2.1	3.6	3.5	2.15	49	3.8	3.51	3.57	3.41	2.2	2.11	43	2.01	1.93	1.95	1.86	29	0.25	2.1	2.04	1.88	1.83	3.64	3.43	2.2
19	E0	28/12/15	West Ham	Southampton	2	-1	H	0	1	A	M Oliver	13	15	5	4	6	12	4	7	1	3	0	0	3.6	3.4	2.2	3.25	3.3	2.2	2.9	3.3	2.3	3.3	3.25	2.2	3.57	3.41	2.24	3.4	3.2	2.2	3.6	3.3	2.25	50	3.6	3.44	3.41	3.26	2.3	2.22	43	2.3	2.18	1.74	1.67	29	0.25	2.01	1.96	1.95	1.9	3.64	3.41	2.21
20	E0	2/1/16	Norwich	Southampton	1	0	H	0	0	D	M Clattenburg	10	10	1	4	9	7	4	9	1	0	0	1	3.2	3.4	2.4	2.9	3.25	2.4	2.9	3.3	2.3	3	3.3	2.3	3.13	3.49	2.42	3.1	3.2	2.38	3.25	3.4	2.38	48	3.25	3.07	3.49	3.34	2.45	2.36	44	2.06	1.96	1.91	1.83	29	0.25	1.89	1.84	2.08	2.02	3.14	3.18	2.58
21	E0	13/01/16	Southampton	Watford	2	0	H	1	0	H	C Pawson	15	4	7	1	9	11	8	1	1	2	0	0	1.95	3.5	4.33	2	3.4	4.1	2	3.3	3.6	1.95	3.3	4	2	3.51	4.25	2	3.2	4	2	3.5	4.2	48	2.05	1.98	3.51	3.38	4.35	4.03	42	2.18	2.07	1.83	1.74	28	-0.5	2.02	1.97	1.94	1.89	2.06	3.45	4.09
22	E0	16/01/16	Southampton	West Brom	3	0	H	2	0	H	M Atkinson	9	9	5	0	10	11	1	3	0	0	0	0	1.73	3.75	5.5	1.72	3.5	5.5	1.8	3.5	4.2	1.67	3.5	5.5	1.71	3.73	5.95	1.75	3.25	5.5	1.73	3.6	6	44	1.8	1.71	3.8	3.6	6	5.46	41	2.36	2.27	1.67	1.63	27	-0.75	1.98	1.93	1.99	1.93	1.71	3.67	6.18
23	E0	23/01/16	Man United	Southampton	0	-1	A	0	0	D	M Jones	8	7	1	2	11	8	4	4	0	0	0	0	1.91	3.5	4.75	1.9	3.4	4.4	1.8	3.5	4.2	1.85	3.3	4.5	1.91	3.45	4.84	1.91	3.2	4.5	1.9	3.4	4.8	46	1.95	1.88	3.54	3.37	4.84	4.55	39	2.48	2.36	1.62	1.58	27	-0.5	1.95	1.9	2.02	1.94	2.09	3.3	4.2
