week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	Norwich	Arsenal	1	-1	D	1	1	D	J Moss	7	12	2	3	8	6	3	6	1	1	0	0	6	4.2	1.62	5.25	4.1	1.62	6.1	4	1.5	5.5	4.2	1.62	5.62	4.34	1.63	5.5	4	1.57	5.75	4.33	1.62	49	6.1	5.51	4.35	4.15	1.65	1.6	40	1.68	1.63	2.4	2.25	31	1	1.88	1.85	2.09	2.01	6.5	4.41	1.56
15	E0	5/12/15	Watford	Norwich	2	0	H	1	0	H	M Dean	14	6	7	1	11	10	4	1	3	3	0	0	2.15	3.5	3.6	2.15	3.2	3.4	2	3.3	3.6	2.15	3.3	3.4	2.16	3.48	3.7	2.15	3.1	3.6	2.15	3.5	3.7	47	2.21	2.13	3.5	3.36	3.75	3.52	42	2.09	1.99	1.85	1.8	27	-0.25	1.88	1.84	2.08	2.02	2.35	3.43	3.3
16	E0	12/12/15	Norwich	Everton	1	-1	D	0	1	A	M Atkinson	9	15	2	3	9	6	5	4	1	0	0	0	2.9	3.5	2.55	2.8	3.3	2.55	2.65	3.3	2.5	2.9	3.4	2.5	2.92	3.56	2.52	2.9	3.2	2.5	2.9	3.5	2.55	50	3	2.85	3.6	3.4	2.55	2.48	45	1.91	1.83	2.05	1.96	27	0	2.12	2.07	1.83	1.79	3.16	3.48	2.4
17	E0	19/12/15	Man United	Norwich	1	-2	A	0	1	A	M Oliver	11	6	2	4	4	10	11	0	0	2	0	0	1.45	4.5	8.5	1.45	4.5	7.75	1.5	4	6.1	1.44	4.2	7.5	1.47	4.5	8.45	1.44	4.2	8	1.45	4.6	8.5	49	1.5	1.45	4.61	4.35	8.83	7.74	45	2	1.9	1.98	1.89	29	-1	1.8	1.75	2.2	2.13	1.43	4.85	8.75
18	E0	26/12/15	Tottenham	Norwich	3	0	H	2	0	H	M Jones	15	11	10	3	4	13	9	4	1	2	0	0	1.4	4.75	8	1.42	4.4	7	1.45	4	7	1.4	4.5	7.5	1.46	4.77	8	1.44	4.2	8	1.44	4.8	8.5	48	1.48	1.43	4.86	4.55	8.5	7.7	42	1.75	1.68	2.3	2.15	30	-1	1.74	1.69	2.3	2.23	1.47	4.54	8.4
19	E0	28/12/15	Norwich	Aston Villa	2	0	H	1	0	H	G Scott	9	6	4	3	10	21	3	7	2	5	0	0	2.05	3.6	3.8	2	3.3	3.7	2	3.3	3.6	2	3.3	3.8	2.05	3.53	4.02	2.05	3.4	3.6	2.05	3.5	4	51	2.1	2.04	3.6	3.42	4.05	3.78	45	2.19	2.1	1.8	1.72	30	-0.5	2.09	2.03	1.89	1.84	1.93	3.7	4.36
20	E0	2/1/16	Norwich	Southampton	1	0	H	0	0	D	M Clattenburg	10	10	1	4	9	7	4	9	1	0	0	1	3.2	3.4	2.4	2.9	3.25	2.4	2.9	3.3	2.3	3	3.3	2.3	3.13	3.49	2.42	3.1	3.2	2.38	3.25	3.4	2.38	48	3.25	3.07	3.49	3.34	2.45	2.36	44	2.06	1.96	1.91	1.83	29	0.25	1.89	1.84	2.08	2.02	3.14	3.18	2.58
21	E0	13/01/16	Stoke	Norwich	3	-1	H	0	0	D	N Swarbrick	14	5	4	2	5	8	7	3	0	1	0	1	2.05	3.3	4.2	2.05	3.4	3.8	2	3.3	3.6	1.95	3.3	4	2.01	3.44	4.31	2.05	3.1	4	2	3.4	4.2	48	2.05	2	3.44	3.32	4.37	4.03	42	2.28	2.18	1.73	1.67	28	-0.5	2.04	1.99	1.92	1.87	2.04	3.39	4.24
22	E0	16/01/16	Bournemouth	Norwich	3	0	H	1	0	H	R Madley	15	10	8	3	8	13	5	3	1	1	0	0	1.91	3.6	4.5	1.9	3.5	4.25	1.9	3.45	3.8	1.85	3.5	4.33	1.89	3.68	4.54	1.95	3.1	4.33	1.87	3.6	4.75	44	1.95	1.88	3.68	3.49	4.75	4.35	42	2.12	2.07	1.83	1.75	27	-0.5	1.9	1.87	2.05	2	1.9	3.6	4.62
23	E0	23/01/16	Norwich	Liverpool	4	-5	A	2	1	H	L Mason	6	13	5	7	10	14	3	3	0	1	0	0	4.33	3.5	1.95	4	3.5	1.95	3.6	3.3	2	3.8	3.4	1.95	4.35	3.5	1.98	4.33	3.25	1.91	4.2	3.5	2	46	4.35	4.08	3.6	3.42	2.05	1.96	40	2.22	2.12	1.8	1.71	28	0.5	1.96	1.9	2.05	1.98	4.28	3.52	1.99
