week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	West Ham	West Brom	1	-1	D	1	0	H	M Atkinson	17	7	6	3	15	16	5	2	0	2	0	0	2.05	3.5	4	2.05	3.25	3.6	2	3.3	3.6	2.05	3.4	3.8	2.1	3.41	3.98	2.05	3.3	3.75	2.1	3.4	4	49	2.1	2.05	3.5	3.33	4.05	3.83	43	2.28	2.16	1.82	1.69	29	-0.5	2.1	2.04	1.87	1.83	2.13	3.35	3.96
15	E0	5/12/15	West Brom	Tottenham	1	-1	D	1	1	D	J Moss	11	9	4	3	13	10	3	6	3	2	0	0	4.75	3.6	1.85	3.9	3.4	1.91	3.8	3.45	1.9	4.33	3.5	1.83	4.75	3.69	1.85	4.5	3.1	1.91	4.8	3.4	1.9	47	4.8	4.45	3.69	3.5	1.91	1.86	41	2.21	2.15	1.76	1.69	27	0.5	2.09	2.02	1.87	1.84	4.8	3.86	1.81
16	E0	13/12/15	Liverpool	West Brom	2	-2	D	1	1	D	C Pawson	28	4	8	2	7	10	4	4	0	0	0	0	1.4	4.75	10	1.4	4.5	8.5	1.4	4.4	7.3	1.4	4.33	9	1.45	4.59	9	1.4	4.33	9	1.44	4.6	9.5	50	1.45	1.41	4.8	4.42	10	8.84	45	2.1	2.02	1.87	1.78	28	-1.5	2.38	2.27	1.7	1.67	1.44	4.7	8.95
17	E0	19/12/15	West Brom	Bournemouth	1	-2	A	0	0	D	M Dean	6	16	2	7	12	9	4	8	2	1	2	0	2.55	3.3	3	2.5	3.25	2.75	2.5	3.2	2.75	2.4	3.2	2.9	2.64	3.27	2.98	2.6	3.1	2.8	2.55	3.25	3.1	49	2.64	2.53	3.36	3.22	3.09	2.91	44	2.24	2.15	1.76	1.69	28	-0.25	2.25	2.17	2.52	1.76	2.86	3.33	2.7
18	E0	26/12/15	Swansea	West Brom	1	0	H	1	0	H	R East	7	9	2	3	10	13	0	7	1	3	0	0	1.91	3.4	4.5	1.91	3.4	4.4	2	3.3	3.6	1.91	3.25	4.2	1.96	3.42	4.58	2.05	3.1	4	2	3.3	4.5	49	2.05	1.96	3.42	3.3	4.58	4.23	38	2.55	2.42	1.6	1.54	29	-0.5	2	1.95	1.98	1.91	1.92	3.42	4.86
19	E0	28/12/15	West Brom	Newcastle	1	0	H	0	0	D	M Jones	22	7	5	2	7	13	18	6	0	0	0	0	2.2	3.25	3.75	2.2	3.25	3.2	2.1	3.3	3.3	2.1	3.2	3.6	2.18	3.35	3.8	2.25	3.2	3.3	2.2	3.3	3.8	51	2.25	2.16	3.4	3.26	3.85	3.58	45	2.3	2.2	1.75	1.66	30	-0.25	1.9	1.85	2.07	2.02	2.16	3.34	3.87
20	E0	2/1/16	West Brom	Stoke	2	-1	H	0	0	D	L Mason	16	10	5	3	7	15	4	6	1	1	0	1	2.8	3.2	2.8	2.8	3.1	2.7	2.55	3.1	2.75	2.7	3	2.75	2.81	3.2	2.84	2.8	3.1	2.62	2.8	3.1	2.88	48	2.85	2.74	3.2	3.09	2.88	2.77	38	2.55	2.45	1.57	1.53	28	-0.25	2.4	2.31	1.68	1.64	2.88	3.16	2.81
21	E0	13/01/16	Chelsea	West Brom	2	-2	D	1	1	D	A Taylor	14	13	2	6	13	8	7	7	3	3	0	0	1.44	4.5	9	1.44	4.4	8.5	1.4	4.4	7.3	1.44	4.2	8	1.46	4.58	8.54	1.44	4.2	8	1.44	4.5	9	48	1.49	1.44	4.75	4.32	9	8.24	43	2.06	1.99	1.87	1.81	29	-1	1.78	1.73	2.3	2.16	1.46	4.39	9.32
22	E0	16/01/16	Southampton	West Brom	3	0	H	2	0	H	M Atkinson	9	9	5	0	10	11	1	3	0	0	0	0	1.73	3.75	5.5	1.72	3.5	5.5	1.8	3.5	4.2	1.67	3.5	5.5	1.71	3.73	5.95	1.75	3.25	5.5	1.73	3.6	6	44	1.8	1.71	3.8	3.6	6	5.46	41	2.36	2.27	1.67	1.63	27	-0.75	1.98	1.93	1.99	1.93	1.71	3.67	6.18
23	E0	23/01/16	West Brom	Aston Villa	0	0	D	0	0	D	R Madley	4	15	0	4	7	13	2	6	0	1	0	0	2.1	3.3	4	2.1	3.2	3.5	2.15	3.25	3.25	2.1	3.1	3.8	2.17	3.28	3.92	2.1	3	4	2.2	3.1	4	46	2.2	2.13	3.4	3.17	4	3.82	37	2.68	2.53	1.56	1.5	28	-0.25	1.93	1.84	2.1	1.95	2.36	3.17	3.57
24	E0	2/2/16	West Brom	Swansea	1	-1	D	0	0	D	N Swarbrick	17	18	7	4	12	13	7	7	0	0	0	0	2.63	3.1	3.1	2.5	3.1	2.9	2.5	3.05	2.85	2.6	2.9	3	2.68	3.04	3.14	2.62	3	2.9	2.7	3	3.1	49	2.7	2.61	3.1	3.01	3.25	3.01	38	2.91	2.71	1.5	1.45	30	-0.25	2.26	2.2	1.75	1.71	2.59	3.09	3.22
25	E0	6/2/16	Newcastle	West Brom	1	0	H	1	0	H	L Mason	19	7	7	0	12	12	8	4	0	3	0	0	2.15	3.4	3.8	2.15	3.2	3.4	2.1	3.3	3.3	2.15	3.1	3.6	2.22	3.33	3.71	2.2	3.3	3.3	2.15	3.3	3.9	45	2.25	2.14	3.4	3.28	3.9	3.63	37	2.36	2.25	1.69	1.63	26	-0.25	1.9	1.83	2.1	2.03	2.29	3.31	3.55
26	E0	13/02/16	Everton	West Brom	0	-1	A	0	1	A	M Oliver	34	5	6	1	9	12	14	1	1	3	0	0	1.53	4.2	7.5	1.53	3.9	6.25	1.6	3.7	5.4	1.5	4	6.5	1.52	4.33	7.65	1.53	3.75	7	1.53	4.2	7.5	45	1.6	1.52	4.35	4.13	7.71	6.82	38	2.02	1.92	1.95	1.88	30	-1	1.9	1.86	2.06	2	1.5	4.49	7.6
27	E0	27/02/16	West Brom	Crystal Palace	3	-2	H	3	0	H	J Moss	11	15	5	2	14	16	3	6	2	2	0	0	2.6	3.1	2.8	2.6	3.1	2.9	2.5	3.2	2.75	2.75	3	2.75	2.84	3.13	2.87	2.6	3	2.9	2.8	3.1	2.88	48	2.85	2.7	3.2	3.07	2.9	2.81	37	2.6	2.45	1.59	1.54	30	0	1.96	1.91	1.99	1.94	2.96	3.23	2.68
28	E0	1/3/16	Leicester	West Brom	2	-2	D	2	1	H	M Clattenburg	22	11	5	3	10	8	11	3	0	2	0	0	1.73	3.8	5.5	1.7	3.75	5.25	1.7	3.6	4.7	1.67	3.75	6	1.73	3.84	5.5	1.7	3.5	5.5	1.7	3.75	6	47	1.77	1.7	3.85	3.67	6	5.44	39	2.21	2.13	1.77	1.71	31	-1	2.38	2.3	1.7	1.65	1.68	3.95	5.87
29	E0	6/3/16	West Brom	Man United	1	0	H	0	0	D	M Dean	9	7	2	1	8	7	4	5	1	0	0	1	4.33	3.4	2	4.2	3.25	1.91	3.8	3.45	1.9	4	3.25	1.95	4.24	3.42	2.03	4	3.2	2	4.33	3.3	2.05	45	4.33	4.1	3.5	3.32	2.06	1.99	36	2.36	2.29	1.65	1.61	28	0.75	1.68	1.65	2.4	2.31	4.45	3.61	1.93
30	E0	19/03/16	West Brom	Norwich	0	-1	A	0	0	D	A Taylor	10	7	0	1	8	13	4	3	1	2	0	0	2.25	3.3	3.6	2.2	3.1	3.4	2.1	3.3	3.3	2.2	3.1	3.4	2.31	3.24	3.6	2.25	3.2	3.3	2.25	3.2	3.7	46	2.33	2.23	3.3	3.2	3.7	3.45	38	2.51	2.35	1.65	1.58	30	-0.25	1.96	1.91	2.03	1.95	2.44	3.25	3.3
31	E0	2/4/16	Sunderland	West Brom	0	0	D	0	0	D	R East	22	3	7	0	11	13	9	3	1	1	0	0	2.1	3.3	4	2	3.3	3.7	2.1	3.3	3.3	2.15	3.2	3.8	2.11	3.36	4	2.05	3.1	4	2.1	3.25	4.1	46	2.15	2.08	3.4	3.27	4.1	3.81	38	2.49	2.39	1.63	1.57	29	-0.5	2.12	2.07	1.85	1.81	2	3.4	4.39
32	E0	9/4/16	Man City	West Brom	2	-1	H	1	1	D	M Jones	13	13	4	2	10	7	8	8	0	1	0	0	1.33	5	9	1.33	5	8.75	1.37	4.6	7.5	1.33	5	10	1.35	5.42	10.72	1.33	4.8	10	1.33	5.2	10.5	47	1.37	1.33	5.42	5.08	11.5	9.94	38	1.77	1.71	2.21	2.12	30	-1.5	2.03	1.98	1.92	1.88	1.36	5.25	10.75
33	E0	16/04/16	West Brom	Watford	0	-1	A	0	1	A	M Oliver	16	11	4	4	11	17	9	3	0	3	0	0	2.4	3.2	3.4	2.3	3.1	3.2	2.3	3.1	3.1	2.4	3.1	3.3	2.36	3.23	3.49	2.4	3.1	3.1	2.38	3.13	3.5	49	2.4	2.34	3.26	3.14	3.5	3.31	39	2.6	2.46	1.6	1.53	31	-0.25	2.03	1.98	1.92	1.88	2.4	3.26	3.37
34	E0	21/04/16	Arsenal	West Brom	2	0	H	2	0	H	J Moss	16	8	7	1	14	14	2	6	0	1	0	0	1.29	6	13	1.22	5.75	13.5	1.25	5.5	10.3	1.25	5.75	13	1.25	6.45	14.75	1.29	5	12	1.25	6.25	15	44	1.29	1.25	6.45	5.87	15	12.76	31	1.66	1.62	2.45	2.28	27	-1.75	2.06	2	1.9	1.86	1.25	6.57	13.99
35	E0	25/04/16	Tottenham	West Brom	1	-1	D	1	0	H	M Jones	19	16	2	3	8	13	9	7	0	1	0	0	1.22	7	15	1.25	5.5	12	1.25	5.5	10.3	1.25	6	15	1.24	6.82	15.4	1.25	5.5	13	1.25	6.25	15	45	1.25	1.22	7	6.19	17	14.03	37	1.74	1.67	2.3	2.17	28	-1.75	1.91	1.86	2.05	1.98	1.24	6.9	15.25
36	E0	30/04/16	West Brom	West Ham	0	-3	A	0	2	A	L Mason	15	8	5	4	14	7	8	6	0	0	0	0	4	3.4	2.1	3.8	3.5	2	3.1	3.3	2.2	3.8	3.3	1.95	4.06	3.49	2.05	3.7	3.2	2.1	3.8	3.5	2.05	46	4.1	3.82	3.56	3.38	2.2	2.04	37	2.2	2.13	1.76	1.7	28	0.5	1.89	1.85	2.05	2.01	3.94	3.68	2.02
37	E0	7/5/16	Bournemouth	West Brom	1	-1	D	0	1	A	M Clattenburg	12	12	4	4	5	8	5	3	2	1	0	0	1.95	3.6	4.2	1.9	3.4	4	1.9	3.15	4.2	1.95	3.5	4.33	1.96	3.54	4.38	1.91	3.2	4.33	1.93	3.6	4.4	48	1.96	1.92	3.61	3.47	4.45	4.19	40	2.01	1.92	1.95	1.88	29	-0.5	1.96	1.91	2	1.95	1.93	3.65	4.38
38	E0	15/05/16	West Brom	Liverpool	1	-1	D	1	1	D	R Madley	13	7	1	3	11	14	7	5	3	1	0	0	2.4	3.6	3	2.35	3.5	2.75	2.5	3.4	2.6	2.4	3.6	2.9	2.42	3.7	2.97	2.4	3.1	3.1	2.38	3.6	3	50	2.5	2.38	3.7	3.49	3.1	2.91	39	1.79	1.72	2.19	2.09	30	-0.25	2.1	2.05	1.86	1.81	2.61	3.75	2.7
