week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	Liverpool	Swansea	1	0	H	0	0	D	A Taylor	10	8	2	0	12	6	8	7	3	1	0	0	1.44	4.75	8	1.45	4.4	7.5	1.5	4	6.1	1.5	4.33	7	1.48	4.55	7.95	1.5	4	7	1.45	4.75	8	48	1.5	1.46	4.75	4.37	8	7.36	42	1.87	1.79	2.08	2.01	29	-1	1.81	1.75	2.23	2.14	1.48	4.55	7.95
15	E0	5/12/15	Swansea	Leicester	0	-3	A	0	2	A	M Oliver	10	16	2	5	3	19	3	8	2	3	0	0	2.7	3.4	2.75	2.75	3.25	2.65	2.65	3.3	2.5	2.5	3.3	2.62	2.68	3.44	2.8	2.8	3.1	2.62	2.7	3.5	2.75	47	2.8	2.66	3.5	3.35	2.8	2.68	42	1.92	1.81	2.05	1.98	28	0	1.98	1.91	2.01	1.94	2.55	3.33	3.06
16	E0	12/12/15	Man City	Swansea	2	-1	H	1	0	H	R Madley	13	13	5	7	13	15	5	5	3	1	0	0	1.3	6	11	1.3	5.25	11	1.3	5	9	1.3	5.5	10	1.32	5.9	10.9	1.33	4.8	10	1.3	6	11.5	50	1.33	1.3	6	5.56	11.5	10.18	38	1.56	1.53	2.6	2.46	30	-1.5	1.9	1.84	2.08	2.02	1.35	5.6	9.65
17	E0	20/12/15	Swansea	West Ham	0	0	D	0	0	D	L Mason	21	11	2	2	6	9	8	9	0	1	0	0	2.1	3.4	3.9	2.1	3.25	3.5	2.1	3.3	3.3	2.05	3.25	3.75	2.1	3.46	3.92	2.15	3.25	3.5	2.15	3.3	3.9	47	2.15	2.07	3.5	3.35	4	3.74	42	2.24	2.13	1.77	1.7	28	-0.5	2.1	2.05	1.86	1.82	2.07	3.44	4.08
18	E0	26/12/15	Swansea	West Brom	1	0	H	1	0	H	R East	7	9	2	3	10	13	0	7	1	3	0	0	1.91	3.4	4.5	1.91	3.4	4.4	2	3.3	3.6	1.91	3.25	4.2	1.96	3.42	4.58	2.05	3.1	4	2	3.3	4.5	49	2.05	1.96	3.42	3.3	4.58	4.23	38	2.55	2.42	1.6	1.54	29	-0.5	2	1.95	1.98	1.91	1.92	3.42	4.86
19	E0	28/12/15	Crystal Palace	Swansea	0	0	D	0	0	D	N Swarbrick	10	5	2	3	11	16	7	4	3	2	0	0	2.1	3.4	4	2.05	3.3	4	2	3.3	3.6	2.05	3.25	3.75	2.09	3.41	4.03	1.91	3.5	4	2.1	3.3	4	51	2.14	2.07	3.5	3.31	4	3.8	45	2.33	2.23	1.7	1.64	30	-0.25	1.83	1.79	2.17	2.09	2.04	3.34	4.35
20	E0	2/1/16	Man United	Swansea	2	-1	H	0	0	D	J Moss	19	9	6	4	14	10	4	2	2	1	0	0	1.55	4.2	7	1.55	3.8	7	1.5	4	6.1	1.53	3.8	7	1.52	4.28	7.66	1.57	3.6	7	1.55	4.1	7.5	48	1.57	1.53	4.27	4	7.55	6.89	43	2.31	2.2	1.75	1.66	30	-1	1.98	1.93	2	1.92	1.49	4.3	8.55
21	E0	13/01/16	Swansea	Sunderland	2	-4	A	2	1	H	G Scott	10	7	5	5	9	12	8	6	2	0	1	0	1.8	3.6	5.25	1.78	3.7	4.6	1.75	3.5	4.5	1.73	3.6	5	1.78	3.71	5.32	1.8	3.4	4.8	1.8	3.6	5.2	48	1.83	1.76	3.71	3.57	5.45	4.97	41	2.2	2.14	1.77	1.7	28	-0.75	2.04	1.99	1.92	1.87	1.83	3.66	4.95
22	E0	18/01/16	Swansea	Watford	1	0	H	1	0	H	M Oliver	10	13	2	2	8	11	6	3	2	2	0	0	2.38	3.25	3.4	2.4	3.25	3.1	2.3	3.3	2.9	2.3	3.1	3.2	2.42	3.31	3.28	2.5	3.1	2.9	2.4	3.2	3.4	43	2.5	2.39	3.31	3.2	3.4	3.15	41	2.5	2.39	1.62	1.57	27	-0.25	2.07	2.02	1.88	1.85	2.28	3.3	3.59
23	E0	24/01/16	Everton	Swansea	1	-2	A	1	2	A	A Taylor	20	7	2	5	5	12	7	1	0	3	0	0	1.73	3.8	5.5	1.72	3.6	4.75	1.7	3.6	4.7	1.67	3.6	5.25	1.69	3.92	5.77	1.67	3.6	5.5	1.7	3.9	5.5	46	1.75	1.68	4	3.75	5.77	5.31	41	2.04	1.95	1.91	1.86	28	-0.75	1.99	1.94	2.03	1.93	1.75	3.81	5.35
24	E0	2/2/16	West Brom	Swansea	1	-1	D	0	0	D	N Swarbrick	17	18	7	4	12	13	7	7	0	0	0	0	2.63	3.1	3.1	2.5	3.1	2.9	2.5	3.05	2.85	2.6	2.9	3	2.68	3.04	3.14	2.62	3	2.9	2.7	3	3.1	49	2.7	2.61	3.1	3.01	3.25	3.01	38	2.91	2.71	1.5	1.45	30	-0.25	2.26	2.2	1.75	1.71	2.59	3.09	3.22
25	E0	6/2/16	Swansea	Crystal Palace	1	-1	D	1	0	H	M Dean	19	12	3	2	11	14	9	5	1	2	0	0	2.25	3.3	3.6	2.25	3.2	3.2	2.1	3.3	3.3	2.2	3.1	3.5	2.26	3.28	3.67	2.25	3.1	3.4	2.2	3.25	3.7	45	2.3	2.23	3.3	3.2	3.72	3.49	38	2.48	2.36	1.63	1.57	27	-0.25	1.95	1.9	2.01	1.97	2.39	3.22	3.44
26	E0	13/02/16	Swansea	Southampton	0	-1	A	0	0	D	J Moss	13	13	2	5	10	12	5	4	0	3	0	0	3.2	3.25	2.5	2.9	3.2	2.4	2.6	3.2	2.6	3.1	3.1	2.3	3.24	3.26	2.47	3	3.1	2.5	3.25	3.2	2.45	45	3.25	3.11	3.33	3.18	2.6	2.43	35	2.5	2.4	1.6	1.55	28	0.25	1.86	1.82	2.1	2.04	3.2	3.25	2.51
27	E0	28/02/16	Tottenham	Swansea	2	-1	H	0	1	A	M Jones	34	10	14	4	11	14	7	7	2	3	0	0	1.4	4.2	9	1.45	3.9	8	1.45	4	7	1.44	4	8	1.48	4.5	8.27	1.44	4.2	7.5	1.45	4.5	8	44	1.5	1.45	4.6	4.27	9	7.83	36	2.06	1.96	1.88	1.83	29	-1.5	2.49	2.39	1.65	1.6	1.5	4.22	8.62
28	E0	2/3/16	Arsenal	Swansea	1	-2	A	1	1	D	R Madley	18	11	4	2	8	11	7	3	0	2	0	0	1.36	5.25	10	1.36	4.6	8.25	1.35	4.8	7.6	1.36	5	10	1.37	5.21	10.28	1.36	4.8	8.5	1.36	5.2	10	47	1.4	1.36	5.25	4.9	10.28	9.25	39	1.83	1.76	2.17	2.04	31	-1.5	2.12	2.06	1.86	1.8	1.29	5.95	12.55
29	E0	5/3/16	Swansea	Norwich	1	0	H	0	0	D	C Pawson	10	8	3	3	14	15	5	0	2	5	0	0	2.05	3.5	4	1.91	3.3	4.1	1.9	3.45	3.8	1.95	3.3	3.8	2.04	3.47	4.13	2.05	3.1	4	2	3.5	4.2	46	2.05	2	3.5	3.38	4.2	3.99	38	2.19	2.11	1.79	1.72	29	-0.25	1.75	1.73	2.23	2.18	2.16	3.33	3.89
30	E0	12/3/16	Bournemouth	Swansea	3	-2	H	1	1	D	R East	12	12	4	4	12	11	5	3	1	0	0	0	1.95	3.5	4.33	1.91	3.3	4.1	2	3.3	3.6	1.91	3.3	4.2	1.96	3.49	4.47	2	3.2	4	1.95	3.4	4.5	45	2	1.95	3.5	3.34	4.5	4.26	38	2.36	2.25	1.7	1.63	28	-0.5	2	1.94	1.98	1.92	2.02	3.54	4.12
31	E0	19/03/16	Swansea	Aston Villa	1	0	H	0	0	D	M Dean	10	12	1	2	9	10	4	6	3	2	0	0	1.67	3.8	6	1.6	3.75	5.75	1.55	4	5.5	1.62	3.6	5.75	1.73	3.81	5.55	1.67	3.4	6	1.7	3.8	5.75	47	1.73	1.66	4	3.73	6	5.58	40	2.29	2.15	1.82	1.69	31	-1	2.34	2.22	1.74	1.7	1.68	4.05	5.55
32	E0	2/4/16	Stoke	Swansea	2	-2	D	1	0	H	M Atkinson	12	12	5	3	6	16	5	5	0	1	0	0	2.2	3.4	3.6	2.1	3.25	3.5	2.2	3.2	3.2	2.2	3.25	3.6	2.17	3.39	3.8	2.2	3.3	3.3	2.25	3.2	3.75	46	2.25	2.16	3.4	3.28	3.87	3.58	38	2.38	2.29	1.68	1.61	30	-0.25	1.88	1.85	2.07	2.02	2.13	3.37	3.96
33	E0	9/4/16	Swansea	Chelsea	1	0	H	1	0	H	A Marriner	12	8	6	2	15	13	1	9	5	4	0	0	3.75	3.4	2	3.75	3.4	1.95	3.5	3.3	2.05	3.6	3.3	2.05	3.96	3.5	2.08	3.8	3.3	2	4	3.4	2.1	46	4	3.77	3.5	3.36	2.1	2.05	37	2.19	2.11	1.78	1.72	29	0.5	1.85	1.82	2.09	2.05	3.08	3.4	2.49
34	E0	16/04/16	Newcastle	Swansea	3	0	H	1	0	H	L Mason	12	11	7	1	13	9	3	7	2	1	0	0	2.3	3.4	3.4	2.25	3.2	3.2	2.3	3.3	2.9	2.3	3.3	3.3	2.28	3.47	3.4	2.3	3.2	3.2	2.3	3.4	3.3	49	2.38	2.27	3.5	3.33	3.42	3.25	40	2.15	2.06	1.83	1.75	31	-0.25	1.98	1.94	1.97	1.93	2.43	3.46	3.13
35	E0	24/04/16	Leicester	Swansea	4	0	H	2	0	H	M Clattenburg	18	9	9	1	15	10	4	6	1	2	0	0	1.75	3.7	5.5	1.7	3.5	5	1.7	3.6	4.7	1.75	3.6	5.5	1.74	3.79	5.54	1.75	3.5	5	1.75	3.7	5.5	46	1.8	1.73	3.8	3.6	5.75	5.17	38	2.25	2.16	1.74	1.68	29	-0.75	2.01	1.95	1.97	1.9	1.71	3.87	5.64
36	E0	1/5/16	Swansea	Liverpool	3	-1	H	2	0	H	R East	18	11	9	3	12	13	4	7	2	2	0	1	3.1	3.5	2.4	3.1	3.4	2.3	3.1	3.3	2.2	3	3.4	2.3	3.15	3.56	2.37	3.1	3.1	2.4	3.13	3.5	2.38	46	3.15	3.05	3.56	3.39	2.5	2.34	39	1.98	1.91	1.95	1.89	29	0.25	1.89	1.85	2.07	2.01	3.57	3.63	2.15
37	E0	7/5/16	West Ham	Swansea	1	-4	A	0	2	A	M Oliver	25	13	7	6	11	8	13	3	3	0	0	0	1.44	4.75	8	1.45	4.25	6.75	1.47	4	6.6	1.44	4.75	8	1.43	4.96	8.34	1.44	4.33	7	1.44	4.8	8	48	1.47	1.43	4.96	4.62	8.34	7.48	38	1.7	1.64	2.35	2.24	30	-1.25	2	1.94	1.97	1.92	1.35	5.73	9.76
38	E0	15/05/16	Swansea	Man City	1	-1	D	1	1	D	M Dean	4	18	1	5	4	19	4	4	1	3	0	0	6	4.75	1.53	5.75	4.5	1.48	7	4	1.45	6.5	4.33	1.53	6.46	4.79	1.52	5.5	4.33	1.53	5.2	4.75	1.53	50	7	6.04	4.8	4.5	1.59	1.51	36	1.58	1.53	2.6	2.45	31	1	2.14	2.05	1.85	1.81	7.05	5	1.47
