week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	29/11/15	Norwich	Arsenal	1	-1	D	1	1	D	J Moss	7	12	2	3	8	6	3	6	1	1	0	0	6	4.2	1.62	5.25	4.1	1.62	6.1	4	1.5	5.5	4.2	1.62	5.62	4.34	1.63	5.5	4	1.57	5.75	4.33	1.62	49	6.1	5.51	4.35	4.15	1.65	1.6	40	1.68	1.63	2.4	2.25	31	1	1.88	1.85	2.09	2.01	6.5	4.41	1.56
15	E0	5/12/15	Arsenal	Sunderland	3	-1	H	1	1	D	R Madley	16	11	7	4	7	11	3	2	1	1	0	0	1.29	6	13	1.26	6.25	10.5	1.22	5.5	12	1.25	5.5	12	1.28	6.14	13.53	1.29	5	12	1.29	5.75	13	47	1.29	1.27	6.25	5.76	13.53	12.07	38	1.65	1.6	2.47	2.3	28	-1.5	1.85	1.79	2.14	2.08	1.29	6.53	11.18
16	E0	13/12/15	Aston Villa	Arsenal	0	-2	A	0	2	A	K Friend	18	8	2	4	8	7	5	5	0	0	0	0	6.5	4.2	1.57	6.5	3.9	1.57	5.5	4	1.55	6	4	1.53	6.24	4.24	1.6	6.5	3.75	1.57	7	4.2	1.55	50	7	6.1	4.24	4.06	1.61	1.57	45	1.94	1.87	2	1.93	30	1	1.94	1.89	2.03	1.96	6.5	4.39	1.56
17	E0	21/12/15	Arsenal	Man City	2	-1	H	2	0	H	A Marriner	8	20	5	6	5	16	4	8	0	2	0	0	2.45	3.5	3	2.45	3.4	3	2.5	3.3	2.65	2.3	3.4	3	2.38	3.58	3.12	2.4	3.1	3.1	2.38	3.7	3	47	2.5	2.37	3.7	3.45	3.15	2.99	43	1.75	1.69	2.3	2.15	27	-0.25	2.08	2.02	1.88	1.84	2.49	3.49	3.01
18	E0	26/12/15	Southampton	Arsenal	4	0	H	1	0	H	J Moss	15	7	5	4	10	9	3	4	1	0	0	0	3.6	3.5	2.05	3.5	3.5	2.1	3.3	3.3	2.1	3.4	3.4	2.1	3.6	3.53	2.18	3.6	3.3	2.1	3.6	3.5	2.15	49	3.8	3.51	3.57	3.41	2.2	2.11	43	2.01	1.93	1.95	1.86	29	0.25	2.1	2.04	1.88	1.83	3.64	3.43	2.2
19	E0	28/12/15	Arsenal	Bournemouth	2	0	H	1	0	H	R East	13	10	6	3	7	8	9	3	2	0	0	0	1.44	4.75	8	1.44	4.5	8	1.42	4.3	7	1.4	4.5	7.5	1.45	4.86	8.07	1.36	4.8	8.5	1.44	4.8	8	50	1.47	1.43	4.89	4.58	8.75	7.76	43	1.68	1.63	2.45	2.26	30	-1.5	2.32	2.22	1.75	1.7	1.54	4.35	7.15
20	E0	2/1/16	Arsenal	Newcastle	1	0	H	0	0	D	A Taylor	16	15	3	6	10	9	7	4	2	2	0	0	1.29	6.5	11	1.28	5.5	11	1.3	5	9	1.25	5.75	12	1.27	6.47	12.81	1.3	5	11	1.29	6	12	48	1.3	1.27	6.5	5.87	12.81	11.2	39	1.53	1.49	2.74	2.56	30	-1.5	1.81	1.76	2.18	2.11	1.24	7.25	12.75
21	E0	13/01/16	Liverpool	Arsenal	3	-3	D	2	2	D	M Jones	22	14	6	5	9	7	9	3	2	0	0	0	2.88	3.4	2.6	2.9	3.25	2.6	2.75	3.3	2.4	2.75	3.3	2.5	2.84	3.58	2.57	2.9	3.2	2.5	2.88	3.5	2.55	48	2.95	2.83	3.58	3.37	2.6	2.51	43	1.96	1.87	2.05	1.93	28	-0.25	2.5	2.41	1.64	1.6	2.58	3.39	2.96
22	E0	17/01/16	Stoke	Arsenal	0	0	D	0	0	D	C Pawson	14	8	6	3	16	10	6	6	0	0	0	0	4.33	3.6	1.95	4	3.6	1.95	3.8	3.45	1.9	4	3.5	1.91	4.29	3.61	1.96	4.33	3.1	1.95	4.3	3.6	1.95	44	4.33	4.11	3.61	3.47	2	1.93	41	2.08	2	1.88	1.81	27	0.25	2.35	2.24	1.73	1.68	3.28	3.24	2.46
23	E0	24/01/16	Arsenal	Chelsea	0	-1	A	0	1	A	M Clattenburg	9	12	1	6	14	13	6	7	1	3	1	0	2.1	3.5	3.9	2.05	3.3	4	2.2	3.25	3.3	2	3.4	3.6	2.06	3.62	3.87	2.1	3.2	3.75	2.05	3.5	4	46	2.2	2.04	3.62	3.43	4	3.76	41	2.02	1.94	1.96	1.87	28	-0.5	2.21	2.1	1.83	1.75	2.32	3.33	3.46
24	E0	2/2/16	Arsenal	Southampton	0	0	D	0	0	D	L Mason	21	14	11	3	11	19	13	3	2	1	0	0	1.75	3.75	5.25	1.8	3.5	4.75	1.75	3.5	4.5	1.73	3.5	5	1.76	3.72	5.39	1.8	3.2	5	1.75	3.75	5.2	49	1.83	1.76	3.75	3.58	5.62	5	42	2.14	2.07	1.81	1.74	32	-1	2.48	2.39	1.63	1.6	1.83	3.65	4.97
25	E0	7/2/16	Bournemouth	Arsenal	0	-2	A	0	2	A	K Friend	17	10	4	5	6	8	7	3	0	1	0	0	3.8	3.5	2.1	3.7	3.4	2.05	3.6	3.3	2	3.6	3.4	2.05	3.84	3.58	2.08	4	3.2	2	4	3.5	2.05	45	4	3.72	3.66	3.41	2.13	2.05	37	2.1	2.02	1.85	1.77	26	0.5	1.86	1.83	2.09	2.04	4.53	3.66	1.9
26	E0	14/02/16	Arsenal	Leicester	2	-1	H	0	1	A	M Atkinson	24	7	6	3	9	10	11	1	4	3	0	1	1.75	4	5	1.75	4	4.33	1.8	3.5	4.2	1.7	3.8	4.5	1.71	4.16	5.08	1.75	3.8	4.5	1.75	4.1	4.75	45	1.8	1.72	4.2	3.95	5.11	4.71	38	1.81	1.76	2.16	2.05	29	-1	2.28	2.21	1.75	1.7	1.68	4.23	5.32
27	E0	28/02/16	Man United	Arsenal	3	-2	H	2	1	H	C Pawson	7	13	5	5	21	15	2	3	4	3	0	0	3	3.25	2.38	2.95	3.2	2.5	2.7	3.1	2.6	2.9	3.1	2.4	3.32	3.32	2.39	3.3	3.2	2.25	3.4	3.25	2.38	44	3.4	3.17	3.32	3.21	2.6	2.37	37	2.42	2.27	1.67	1.62	27	0.25	1.9	1.86	2.05	2	3.46	3.4	2.29
28	E0	2/3/16	Arsenal	Swansea	1	-2	A	1	1	D	R Madley	18	11	4	2	8	11	7	3	0	2	0	0	1.36	5.25	10	1.36	4.6	8.25	1.35	4.8	7.6	1.36	5	10	1.37	5.21	10.28	1.36	4.8	8.5	1.36	5.2	10	47	1.4	1.36	5.25	4.9	10.28	9.25	39	1.83	1.76	2.17	2.04	31	-1.5	2.12	2.06	1.86	1.8	1.29	5.95	12.55
29	E0	5/3/16	Tottenham	Arsenal	2	-2	D	0	1	A	M Oliver	26	10	11	4	9	10	9	2	2	2	0	1	2.38	3.4	3.25	2.35	3.4	2.85	2.5	3.2	2.75	2.3	3.3	3	2.39	3.54	3.13	2.4	3.1	3.1	2.38	3.6	3.1	47	2.5	2.36	3.62	3.38	3.25	3.08	40	1.86	1.8	2.11	2	30	-0.25	2.08	2.02	1.9	1.85	2.31	3.51	3.29
30	E0	19/03/16	Everton	Arsenal	0	-2	A	0	2	A	M Clattenburg	8	11	2	3	7	10	7	5	0	0	0	0	2.7	3.5	2.7	2.6	3.4	2.55	2.6	3.2	2.6	2.62	3.5	2.5	2.67	3.64	2.69	2.5	3.6	2.6	2.7	3.6	2.7	47	2.77	2.62	3.7	3.48	2.75	2.63	39	1.75	1.7	2.23	2.14	29	0.25	1.71	1.67	2.35	2.26	2.7	3.66	2.65
31	E0	2/4/16	Arsenal	Watford	4	0	H	2	0	H	A Taylor	19	6	12	2	7	10	8	3	1	1	0	0	1.36	5.25	10	1.33	4.75	9.5	1.33	4.8	8.3	1.36	5	9	1.36	5.4	9.82	1.36	4.8	8.5	1.36	5.4	9.5	45	1.38	1.35	5.4	5.03	10	9.07	39	1.75	1.69	2.25	2.16	29	-1.25	1.85	1.81	2.11	2.07	1.35	5.55	9.9
32	E0	9/4/16	West Ham	Arsenal	3	-3	D	2	2	D	C Pawson	19	11	7	6	11	8	7	4	2	0	0	0	3.6	3.5	2	3.75	3.6	1.9	3.6	3.3	2	3.6	3.6	1.95	3.9	3.77	2.01	3.5	3.6	2	3.9	3.75	2	47	3.93	3.72	3.83	3.61	2.05	1.98	37	1.81	1.74	2.19	2.08	29	0.5	1.95	1.9	2	1.96	3.89	3.87	1.98
33	E0	17/04/16	Arsenal	Crystal Palace	1	-1	D	1	0	H	R East	21	7	6	2	7	13	10	5	0	2	0	0	1.33	5.75	9.5	1.33	5	8.75	1.3	5	9	1.36	5.25	9	1.36	5.52	9.56	1.35	4.8	9	1.33	5.5	10	49	1.37	1.34	5.75	5.2	10	9.06	38	1.66	1.6	2.45	2.31	32	-1.5	2.02	1.97	1.93	1.88	1.34	5.85	9.7
34	E0	21/04/16	Arsenal	West Brom	2	0	H	2	0	H	J Moss	16	8	7	1	14	14	2	6	0	1	0	0	1.29	6	13	1.22	5.75	13.5	1.25	5.5	10.3	1.25	5.75	13	1.25	6.45	14.75	1.29	5	12	1.25	6.25	15	44	1.29	1.25	6.45	5.87	15	12.76	31	1.66	1.62	2.45	2.28	27	-1.75	2.06	2	1.9	1.86	1.25	6.57	13.99
35	E0	24/04/16	Sunderland	Arsenal	0	0	D	0	0	D	M Dean	12	20	3	7	10	8	7	7	2	4	0	0	4.5	4	1.8	4.5	3.8	1.72	4.3	3.65	1.75	4.5	3.8	1.8	4.89	4.02	1.76	4.5	3.5	1.8	5	4	1.75	46	5	4.64	4.02	3.8	1.81	1.76	38	1.8	1.73	2.2	2.09	29	0.75	1.95	1.9	2	1.95	5.48	4.32	1.65
36	E0	30/04/16	Arsenal	Norwich	1	0	H	0	0	D	M Jones	14	12	3	3	8	7	7	3	1	0	0	0	1.29	6.5	11	1.25	6	12.5	1.22	5.5	12	1.25	5.75	12	1.27	6.28	13.26	1.29	5	12	1.25	6.5	13	45	1.29	1.26	6.55	5.99	13.26	11.81	35	1.56	1.51	2.75	2.52	29	-1.75	2.02	1.97	1.95	1.89	1.25	6.7	13.65
37	E0	8/5/16	Man City	Arsenal	2	-2	D	1	1	D	A Taylor	14	5	3	2	16	10	7	2	2	1	0	0	2.5	3.6	2.9	2.55	3.4	2.6	2.4	3.2	2.85	2.5	3.5	2.9	2.54	3.53	2.92	2.5	3.1	2.9	2.55	3.5	2.88	48	2.56	2.48	3.6	3.43	2.95	2.81	38	1.77	1.7	2.25	2.14	28	0	1.86	1.81	2.11	2.05	2.22	3.61	3.41
38	E0	15/05/16	Arsenal	Aston Villa	4	0	H	1	0	H	M Clattenburg	16	5	7	2	12	6	5	4	0	1	0	0	1.17	9	17	1.16	7	16	1.17	6.5	14	1.15	9	19	1.17	9.35	18	1.14	7.5	19	1.15	9	21	50	1.2	1.15	9.51	8.01	21	17.22	34	1.4	1.35	3.25	3.08	30	-2.25	1.96	1.91	1.99	1.94	1.12	12.03	23.6
