week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Aston Villa	Watford	2	-3	A	1	1	D	L Mason	12	14	6	6	6	13	10	10	2	3	0	0	2.75	3.3	2.8	2.75	3	2.75	2.5	3.3	2.65	2.7	3.25	2.8	2.77	3.25	2.85	2.7	3.1	2.7	2.8	3.13	2.88	49	2.8	2.69	3.3	3.13	2.9	2.79	40	2.42	2.34	1.64	1.58	28	-0.25	2.35	2.29	1.69	1.66	2.76	3.27	2.84
15	E0	5/12/15	Watford	Norwich	2	0	H	1	0	H	M Dean	14	6	7	1	11	10	4	1	3	3	0	0	2.15	3.5	3.6	2.15	3.2	3.4	2	3.3	3.6	2.15	3.3	3.4	2.16	3.48	3.7	2.15	3.1	3.6	2.15	3.5	3.7	47	2.21	2.13	3.5	3.36	3.75	3.52	42	2.09	1.99	1.85	1.8	27	-0.25	1.88	1.84	2.08	2.02	2.35	3.43	3.3
16	E0	12/12/15	Sunderland	Watford	0	-1	A	0	1	A	G Scott	14	13	2	6	6	9	8	3	1	0	0	0	2.9	3.3	2.63	2.9	3.1	2.65	2.6	3.2	2.6	2.8	3.1	2.6	2.86	3.31	2.71	2.75	3	2.75	2.88	3.3	2.7	50	2.9	2.8	3.31	3.2	2.75	2.64	43	2.23	2.13	1.76	1.69	27	0	2.02	1.98	1.92	1.87	2.81	3.31	2.76
17	E0	20/12/15	Watford	Liverpool	3	0	H	2	0	H	M Clattenburg	6	12	5	4	6	9	7	9	1	0	0	0	4.2	3.6	1.95	4	3.3	2	3.6	3.3	2	3.8	3.4	1.95	4.14	3.55	2.01	4	3.2	2	4.33	3.4	2	48	4.3	4.02	3.6	3.43	2.01	1.96	43	2.15	2.08	1.81	1.74	28	0.5	1.96	1.91	2.01	1.94	3.68	3.58	2.13
18	E0	26/12/15	Chelsea	Watford	2	-2	D	1	1	D	A Marriner	17	12	2	3	7	15	9	4	1	4	0	0	1.44	4.5	7.5	1.45	4.6	7	1.4	4.4	7.3	1.48	4.2	7	1.52	4.52	7.14	1.44	4.2	8	1.5	4.5	7.5	49	1.54	1.49	4.6	4.29	8	7.03	44	1.84	1.76	2.13	2.04	29	-1	1.88	1.84	2.1	2.02	1.5	4.52	7.55
19	E0	28/12/15	Watford	Tottenham	1	-2	A	1	1	D	A Taylor	9	10	1	3	11	13	5	3	4	2	1	0	3.75	3.5	2.1	3.5	3.3	2.15	3.3	3.3	2.1	3.6	3.3	2.05	3.92	3.55	2.07	3.5	3.25	2.15	3.9	3.4	2.1	51	3.92	3.65	3.55	3.42	2.15	2.08	45	2.11	2.03	1.83	1.77	30	0.5	1.88	1.82	2.09	2.05	3.28	3.32	2.42
20	E0	2/1/16	Watford	Man City	1	-2	A	0	0	D	M Atkinson	11	16	3	5	6	10	4	5	1	0	0	0	5	4	1.75	4.75	3.75	1.75	4.7	3.6	1.7	4.75	3.8	1.7	5.14	4.11	1.72	5	3.6	1.73	5.2	4.1	1.7	48	5.2	4.87	4.11	3.88	1.75	1.71	43	1.74	1.69	2.25	2.14	28	0.75	2.02	1.97	1.92	1.89	4.99	3.99	1.76
21	E0	13/01/16	Southampton	Watford	2	0	H	1	0	H	C Pawson	15	4	7	1	9	11	8	1	1	2	0	0	1.95	3.5	4.33	2	3.4	4.1	2	3.3	3.6	1.95	3.3	4	2	3.51	4.25	2	3.2	4	2	3.5	4.2	48	2.05	1.98	3.51	3.38	4.35	4.03	42	2.18	2.07	1.83	1.74	28	-0.5	2.02	1.97	1.94	1.89	2.06	3.45	4.09
22	E0	18/01/16	Swansea	Watford	1	0	H	1	0	H	M Oliver	10	13	2	2	8	11	6	3	2	2	0	0	2.38	3.25	3.4	2.4	3.25	3.1	2.3	3.3	2.9	2.3	3.1	3.2	2.42	3.31	3.28	2.5	3.1	2.9	2.4	3.2	3.4	43	2.5	2.39	3.31	3.2	3.4	3.15	41	2.5	2.39	1.62	1.57	27	-0.25	2.07	2.02	1.88	1.85	2.28	3.3	3.59
23	E0	23/01/16	Watford	Newcastle	2	-1	H	0	0	D	A Marriner	13	11	5	2	10	12	2	7	2	1	0	0	2.05	3.5	4	2.1	3.4	3.3	2	3.3	3.6	2	3.4	3.6	2.07	3.54	3.93	2.1	3.2	3.75	2.1	3.5	3.8	46	2.1	2.05	3.54	3.39	4	3.75	40	2.15	2.07	1.8	1.74	27	-0.5	2.1	2.04	1.9	1.82	2.02	3.66	3.98
24	E0	3/2/16	Watford	Chelsea	0	0	D	0	0	D	M Dean	12	12	3	4	10	13	7	7	2	1	0	0	4.33	3.5	1.95	4.1	3.4	1.95	3.6	3.3	2	4	3.3	1.91	4.32	3.43	2.01	4	3.25	2	4.4	3.4	2	48	4.4	4.1	3.51	3.36	2.05	1.98	41	2.31	2.23	1.71	1.65	29	0.5	1.95	1.91	2.01	1.96	5	3.75	1.81
25	E0	6/2/16	Tottenham	Watford	1	0	H	0	0	D	R East	26	3	9	0	12	9	15	1	0	1	0	0	1.5	4.33	8	1.5	4	6.5	1.5	4	6.1	1.48	4	7	1.51	4.39	7.73	1.5	4	7	1.5	4.33	8	44	1.54	1.49	4.4	4.22	8	7.19	37	1.96	1.87	1.97	1.91	28	-1	1.87	1.82	2.1	2.04	1.52	4.4	7.38
26	E0	13/02/16	Crystal Palace	Watford	1	-2	A	1	1	D	R East	14	10	7	3	11	16	8	5	0	2	0	0	2.25	3.3	3.6	2.25	3.2	3.2	2.2	3.3	3.1	2.2	3.1	3.5	2.24	3.28	3.71	2.3	3.1	3.3	2.25	3.2	3.75	45	2.3	2.23	3.33	3.2	3.77	3.51	37	2.44	2.34	1.65	1.59	28	-0.25	1.92	1.87	2.04	1.99	2.23	3.25	3.78
27	E0	27/02/16	Watford	Bournemouth	0	0	D	0	0	D	A Taylor	14	11	1	3	14	17	4	5	3	1	0	0	2.38	3.25	3	2.35	3.1	3.1	2.2	3.2	3.2	2.38	3.2	3	2.45	3.31	3.22	2.38	3.25	3	2.45	3.3	3.2	48	2.45	2.37	3.35	3.22	3.25	3.1	40	2.29	2.16	1.75	1.69	31	-0.25	2.09	2.03	1.88	1.83	2.64	3.36	2.91
28	E0	2/3/16	Man United	Watford	1	0	H	0	0	D	M Jones	14	13	3	3	7	17	9	7	1	2	0	0	1.67	3.8	6	1.65	3.5	5.5	1.65	3.6	5.1	1.67	3.75	6	1.66	3.92	6.21	1.67	3.4	6	1.67	3.9	6	47	1.69	1.65	4	3.71	6.5	5.87	39	2.22	2.12	1.77	1.71	31	-1	2.23	2.17	1.76	1.72	1.64	3.99	6.3
29	E0	5/3/16	Watford	Leicester	0	-1	A	0	0	D	J Moss	11	14	4	7	10	11	3	8	2	2	0	0	3	3.4	2.55	2.7	3.4	2.45	3	3.2	2.3	2.9	3.2	2.4	3.01	3.33	2.58	2.8	3.1	2.62	3	3.3	2.55	46	3.01	2.94	3.4	3.25	2.62	2.5	37	2.24	2.11	1.8	1.71	29	0.25	1.8	1.75	2.21	2.14	2.99	3.39	2.56
30	E0	19/03/16	Watford	Stoke	1	-2	A	0	1	A	C Pawson	9	9	4	6	10	14	9	2	3	1	0	0	2.4	3.25	3.3	2.4	3.1	3	2.4	3.2	2.85	2.3	3.1	3.2	2.4	3.27	3.36	2.5	3	3.1	2.45	3.2	3.3	47	2.5	2.39	3.27	3.16	3.36	3.17	39	2.51	2.37	1.63	1.58	30	-0.25	2.08	2.03	1.9	1.84	2.22	3.27	3.79
31	E0	2/4/16	Arsenal	Watford	4	0	H	2	0	H	A Taylor	19	6	12	2	7	10	8	3	1	1	0	0	1.36	5.25	10	1.33	4.75	9.5	1.33	4.8	8.3	1.36	5	9	1.36	5.4	9.82	1.36	4.8	8.5	1.36	5.4	9.5	45	1.38	1.35	5.4	5.03	10	9.07	39	1.75	1.69	2.25	2.16	29	-1.25	1.85	1.81	2.11	2.07	1.35	5.55	9.9
32	E0	9/4/16	Watford	Everton	1	-1	D	1	1	D	K Friend	13	12	5	7	13	10	7	6	2	1	0	0	3.4	3.3	2.15	3.4	3.25	2.15	2.95	3.1	2.4	3.3	3.3	2.15	3.47	3.41	2.28	3.5	3.25	2.15	3.5	3.4	2.25	47	3.5	3.35	3.41	3.32	2.4	2.21	38	2.16	2.08	1.83	1.74	30	0.25	2	1.95	1.96	1.91	3.55	3.55	2.19
33	E0	16/04/16	West Brom	Watford	0	-1	A	0	1	A	M Oliver	16	11	4	4	11	17	9	3	0	3	0	0	2.4	3.2	3.4	2.3	3.1	3.2	2.3	3.1	3.1	2.4	3.1	3.3	2.36	3.23	3.49	2.4	3.1	3.1	2.38	3.13	3.5	49	2.4	2.34	3.26	3.14	3.5	3.31	39	2.6	2.46	1.6	1.53	31	-0.25	2.03	1.98	1.92	1.88	2.4	3.26	3.37
34	E0	20/04/16	West Ham	Watford	3	-1	H	2	0	H	M Dean	18	7	7	4	11	17	4	2	0	2	0	1	1.57	4.33	6.5	1.53	4	6	1.65	3.6	5.1	1.5	4.2	6	1.56	4.37	6.74	1.53	4	6.5	1.57	4.3	6.5	44	1.65	1.54	4.37	4.16	6.83	6.3	35	1.86	1.81	2.08	2	28	-1	1.98	1.94	1.97	1.93	1.45	4.82	8.03
35	E0	30/04/16	Watford	Aston Villa	3	-2	H	1	1	D	A Taylor	18	7	6	2	14	10	8	4	2	3	0	1	1.7	3.8	5.75	1.67	3.8	5.25	1.6	3.9	5	1.7	3.6	5	1.74	3.95	5.23	1.7	3.5	5.5	1.7	3.8	5.5	46	1.75	1.7	3.95	3.74	5.75	5.16	39	2.06	2	1.9	1.81	29	-0.75	1.98	1.92	1.98	1.93	1.77	3.78	5.26
36	E0	8/5/16	Liverpool	Watford	2	0	H	1	0	H	L Mason	19	14	5	3	10	15	8	8	1	2	0	0	1.5	4.5	7.5	1.44	4.4	6.75	1.4	4.4	7.3	1.53	4.5	6.5	1.54	4.65	6.48	1.5	4	7	1.5	4.5	7	48	1.54	1.49	4.65	4.42	7.5	6.55	36	1.65	1.61	2.45	2.29	30	-1.25	2.13	2.07	1.84	1.8	1.55	4.48	6.55
37	E0	11/5/16	Norwich	Watford	4	-2	H	3	1	H	R East	18	12	6	7	8	12	5	1	2	3	0	0	1.83	3.75	4.75	1.75	3.75	4.33	1.8	3.6	4	1.8	3.6	4.33	1.85	3.82	4.6	1.8	3.3	5	1.83	3.75	4.75	47	1.87	1.82	3.81	3.66	5	4.43	39	1.94	1.89	1.98	1.9	28	-0.75	2.13	2.07	1.83	1.79	1.88	3.98	4.19
38	E0	15/05/16	Watford	Sunderland	2	-2	D	0	1	A	K Friend	21	6	6	4	11	10	7	4	1	0	0	0	2.05	3.75	3.7	2.05	3.3	3.6	2.2	3.3	3.1	2.05	3.75	3.6	2.03	3.8	3.78	1.95	3.75	3.6	2.05	3.75	3.7	50	2.2	2.02	3.8	3.62	3.78	3.58	40	1.77	1.71	2.21	2.1	29	-0.5	2.06	2.01	1.91	1.85	1.64	4.52	5.27
