week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Sunderland	Stoke	2	0	H	0	0	D	M Dean	18	7	5	3	4	10	9	5	0	2	0	1	3.2	3.3	2.45	3	3.1	2.4	2.75	3.3	2.4	3.2	3.25	2.4	3.16	3.28	2.51	3.1	3.1	2.4	3.2	3.3	2.45	49	3.25	3.1	3.3	3.19	2.51	2.41	43	2.37	2.26	1.71	1.63	29	0.25	1.85	1.8	2.13	2.07	3.05	3.26	2.59
15	E0	5/12/15	Arsenal	Sunderland	3	-1	H	1	1	D	R Madley	16	11	7	4	7	11	3	2	1	1	0	0	1.29	6	13	1.26	6.25	10.5	1.22	5.5	12	1.25	5.5	12	1.28	6.14	13.53	1.29	5	12	1.29	5.75	13	47	1.29	1.27	6.25	5.76	13.53	12.07	38	1.65	1.6	2.47	2.3	28	-1.5	1.85	1.79	2.14	2.08	1.29	6.53	11.18
16	E0	12/12/15	Sunderland	Watford	0	-1	A	0	1	A	G Scott	14	13	2	6	6	9	8	3	1	0	0	0	2.9	3.3	2.63	2.9	3.1	2.65	2.6	3.2	2.6	2.8	3.1	2.6	2.86	3.31	2.71	2.75	3	2.75	2.88	3.3	2.7	50	2.9	2.8	3.31	3.2	2.75	2.64	43	2.23	2.13	1.76	1.69	27	0	2.02	1.98	1.92	1.87	2.81	3.31	2.76
17	E0	19/12/15	Chelsea	Sunderland	3	-1	H	2	0	H	R East	17	11	7	3	12	12	2	2	1	3	0	0	1.33	5.25	12	1.33	5.25	10	1.33	4.8	8.3	1.29	5.25	12	1.32	5.69	11.8	1.3	5	11	1.3	5.75	12	49	1.33	1.31	5.75	5.32	13	10.91	44	1.85	1.76	2.17	2.05	31	-1.5	1.97	1.9	2.01	1.95	1.32	5.99	10.8
18	E0	26/12/15	Man City	Sunderland	4	-1	H	3	0	H	A Taylor	19	11	9	3	10	11	5	1	1	1	0	0	1.2	7	13	1.22	6.25	14.5	1.2	5.8	13	1.2	7	15	1.21	7.65	16	1.22	6	13	1.22	7	15	48	1.23	1.21	7.65	6.91	17	13.59	38	1.45	1.4	3.1	2.86	31	-2	1.96	1.92	1.99	1.93	1.21	7.95	14.78
19	E0	30/12/15	Sunderland	Liverpool	0	-1	A	0	0	D	K Friend	8	17	3	6	8	16	6	4	1	3	0	0	5.5	3.9	1.7	5	3.75	1.72	4.5	3.5	1.75	5	3.6	1.67	5.51	3.91	1.71	4.75	3.6	1.75	5.5	3.75	1.73	48	5.6	5.22	4	3.74	1.75	1.7	43	2.07	1.99	1.92	1.81	28	0.5	2.32	2.25	1.74	1.68	5.77	4.09	1.66
20	E0	2/1/16	Sunderland	Aston Villa	3	-1	H	1	0	H	C Pawson	13	8	6	3	8	13	3	3	3	4	0	0	2.5	3.25	3.2	2.5	3.1	2.9	2.3	3.3	2.9	2.4	3.1	2.9	2.49	3.34	3.14	2.4	3.1	3.1	2.5	3.2	3.2	48	2.51	2.45	3.34	3.18	3.23	3.04	42	2.4	2.29	1.67	1.61	29	-0.25	2.15	2.09	1.83	1.79	2.49	3.32	3.15
21	E0	13/01/16	Swansea	Sunderland	2	-4	A	2	1	H	G Scott	10	7	5	5	9	12	8	6	2	0	1	0	1.8	3.6	5.25	1.78	3.7	4.6	1.75	3.5	4.5	1.73	3.6	5	1.78	3.71	5.32	1.8	3.4	4.8	1.8	3.6	5.2	48	1.83	1.76	3.71	3.57	5.45	4.97	41	2.2	2.14	1.77	1.7	28	-0.75	2.04	1.99	1.92	1.87	1.83	3.66	4.95
22	E0	16/01/16	Tottenham	Sunderland	4	-1	H	1	1	D	M Dean	26	5	11	2	8	13	11	3	0	2	0	0	1.36	5.25	9.5	1.36	5	8.5	1.37	4.6	7.5	1.35	4.75	9	1.35	5.48	10.2	1.4	4	10	1.36	5.4	10	44	1.4	1.35	5.5	5	10.62	9.24	41	1.73	1.66	2.33	2.2	29	-1.5	2.05	2	1.92	1.86	1.36	5.49	9.45
23	E0	23/01/16	Sunderland	Bournemouth	1	-1	D	1	1	D	R East	10	15	5	5	5	9	3	4	1	1	0	0	3	3.4	2.5	2.8	3.2	2.5	2.65	3.3	2.5	2.9	3.1	2.4	3.06	3.34	2.54	3	3	2.5	3	3.3	2.55	46	3.07	2.94	3.4	3.26	2.55	2.48	40	2.2	2.12	1.77	1.71	28	0	2.17	2.07	1.82	1.76	2.82	3.45	2.66
24	E0	2/2/16	Sunderland	Man City	0	-1	A	0	1	A	S Attwell	11	6	2	2	6	15	8	4	1	4	0	0	8	4.75	1.45	6.75	4.5	1.48	6.1	4	1.5	6.5	4.5	1.44	7.5	4.73	1.48	7	4	1.5	8	4.75	1.45	48	8	7.06	4.8	4.49	1.5	1.47	41	1.71	1.66	2.32	2.21	32	1	2.21	2.14	1.79	1.74	7.28	4.89	1.47
25	E0	6/2/16	Liverpool	Sunderland	2	-2	D	0	0	D	R Madley	16	7	5	2	4	12	7	2	1	1	0	0	1.44	4.75	8.5	1.44	4.33	8	1.4	4.4	7.3	1.4	4.33	7.5	1.45	4.71	8.42	1.44	4.2	8	1.44	4.6	8.5	45	1.5	1.44	4.75	4.46	9	7.82	37	1.82	1.76	2.12	2.04	28	-1.5	2.38	2.28	1.68	1.66	1.43	4.86	8.6
26	E0	13/02/16	Sunderland	Man United	2	-1	H	1	1	D	A Marriner	21	12	5	6	7	15	6	8	2	3	0	0	5.25	3.75	1.75	4.75	3.5	1.8	4.5	3.5	1.75	4.75	3.5	1.75	5.1	3.74	1.79	5	3.3	1.8	5.5	3.7	1.75	45	5.5	5	3.78	3.6	1.83	1.76	38	2.25	2.15	1.75	1.69	29	1	1.65	1.6	2.52	2.4	5.27	3.69	1.79
27	E0	27/02/16	West Ham	Sunderland	1	0	H	1	0	H	M Dean	9	13	3	4	11	9	5	6	1	0	0	0	1.8	3.5	4.5	1.83	3.4	4.33	1.85	3.45	4	1.8	3.6	4.33	1.85	3.75	4.7	1.83	3.6	4.2	1.83	3.7	4.75	48	1.89	1.84	3.75	3.58	4.75	4.39	40	2	1.93	1.93	1.86	31	-0.75	2.14	2.09	1.83	1.79	1.86	3.7	4.69
28	E0	1/3/16	Sunderland	Crystal Palace	2	-2	D	1	0	H	A Taylor	17	13	6	5	11	14	4	5	1	1	0	0	2.5	3.3	3.1	2.45	3.2	3	2.5	3.3	2.65	2.45	3.2	3.2	2.48	3.36	3.13	2.5	3.1	3	2.5	3.3	3.13	47	2.55	2.46	3.4	3.24	3.2	3.03	39	2.28	2.18	1.72	1.68	30	-0.25	2.14	2.09	1.84	1.8	2.49	3.27	3.19
