week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Man City	Southampton	3	-1	H	2	0	H	R East	16	12	9	8	14	11	6	4	2	1	0	0	1.6	4.33	6	1.6	4.2	5.25	1.5	4	6.1	1.57	4.33	6	1.58	4.4	6.28	1.57	3.8	6	1.57	4.4	6.25	49	1.6	1.57	4.4	4.19	6.58	5.9	43	1.71	1.65	2.32	2.23	31	-1	1.98	1.93	2	1.92	1.57	4.4	6.37
15	E0	5/12/15	Stoke	Man City	2	0	H	2	0	H	M Atkinson	7	11	4	4	9	10	1	6	0	1	0	0	5.25	4	1.7	5	3.7	1.72	4.7	3.6	1.7	4.75	3.8	1.67	5.25	4.06	1.71	5.5	3.4	1.7	5.4	4	1.7	47	5.5	5.07	4.1	3.87	1.75	1.69	41	1.87	1.79	2.14	2.01	27	0.75	2.01	1.97	1.94	1.89	5.21	3.94	1.74
16	E0	12/12/15	Man City	Swansea	2	-1	H	1	0	H	R Madley	13	13	5	7	13	15	5	5	3	1	0	0	1.3	6	11	1.3	5.25	11	1.3	5	9	1.3	5.5	10	1.32	5.9	10.9	1.33	4.8	10	1.3	6	11.5	50	1.33	1.3	6	5.56	11.5	10.18	38	1.56	1.53	2.6	2.46	30	-1.5	1.9	1.84	2.08	2.02	1.35	5.6	9.65
17	E0	21/12/15	Arsenal	Man City	2	-1	H	2	0	H	A Marriner	8	20	5	6	5	16	4	8	0	2	0	0	2.45	3.5	3	2.45	3.4	3	2.5	3.3	2.65	2.3	3.4	3	2.38	3.58	3.12	2.4	3.1	3.1	2.38	3.7	3	47	2.5	2.37	3.7	3.45	3.15	2.99	43	1.75	1.69	2.3	2.15	27	-0.25	2.08	2.02	1.88	1.84	2.49	3.49	3.01
18	E0	26/12/15	Man City	Sunderland	4	-1	H	3	0	H	A Taylor	19	11	9	3	10	11	5	1	1	1	0	0	1.2	7	13	1.22	6.25	14.5	1.2	5.8	13	1.2	7	15	1.21	7.65	16	1.22	6	13	1.22	7	15	48	1.23	1.21	7.65	6.91	17	13.59	38	1.45	1.4	3.1	2.86	31	-2	1.96	1.92	1.99	1.93	1.21	7.95	14.78
19	E0	29/12/15	Leicester	Man City	0	0	D	0	0	D	C Pawson	11	21	4	5	11	8	1	13	1	3	0	0	4.33	4	1.85	4	4	1.85	3.8	3.45	1.9	4	3.8	1.8	4.25	4.1	1.85	3.75	3.75	1.91	4.4	4.1	1.8	49	4.4	4.12	4.1	3.87	1.91	1.83	38	1.65	1.55	2.6	2.38	29	0.5	2.11	2.05	1.85	1.81	4.17	3.88	1.91
20	E0	2/1/16	Watford	Man City	1	-2	A	0	0	D	M Atkinson	11	16	3	5	6	10	4	5	1	0	0	0	5	4	1.75	4.75	3.75	1.75	4.7	3.6	1.7	4.75	3.8	1.7	5.14	4.11	1.72	5	3.6	1.73	5.2	4.1	1.7	48	5.2	4.87	4.11	3.88	1.75	1.71	43	1.74	1.69	2.25	2.14	28	0.75	2.02	1.97	1.92	1.89	4.99	3.99	1.76
21	E0	13/01/16	Man City	Everton	0	0	D	0	0	D	R East	22	7	5	2	5	6	12	5	0	1	0	0	1.53	4.75	6	1.53	4.75	5.75	1.45	4	7	1.48	4.5	6	1.52	4.88	6.44	1.53	4	6.5	1.53	4.6	6.25	48	1.53	1.5	4.9	4.56	7	6.19	38	1.55	1.48	2.76	2.59	30	-1	1.85	1.79	2.15	2.08	1.55	4.46	6.59
22	E0	16/01/16	Man City	Crystal Palace	4	0	H	2	0	H	J Moss	17	9	4	3	10	11	5	6	0	2	0	0	1.4	5.25	8.5	1.4	5	8.25	1.4	4.4	7.3	1.36	4.75	8	1.39	5.34	8.88	1.4	4.2	9	1.33	5.25	10	44	1.41	1.38	5.5	5.01	10	8.13	38	1.68	1.61	2.41	2.28	29	-1.5	2.1	2.05	1.88	1.82	1.4	5.1	9.19
23	E0	23/01/16	West Ham	Man City	2	-2	D	1	1	D	C Pawson	10	16	3	3	11	15	5	2	2	3	0	0	5	4	1.73	4.6	4	1.72	4.7	3.6	1.7	4.75	3.8	1.67	5.19	4.09	1.71	5	3.6	1.73	5.4	3.8	1.73	45	5.4	4.98	4.1	3.87	1.74	1.7	39	1.77	1.71	2.21	2.12	27	0.75	2.05	1.98	1.95	1.88	5	4.22	1.71
24	E0	2/2/16	Sunderland	Man City	0	-1	A	0	1	A	S Attwell	11	6	2	2	6	15	8	4	1	4	0	0	8	4.75	1.45	6.75	4.5	1.48	6.1	4	1.5	6.5	4.5	1.44	7.5	4.73	1.48	7	4	1.5	8	4.75	1.45	48	8	7.06	4.8	4.49	1.5	1.47	41	1.71	1.66	2.32	2.21	32	1	2.21	2.14	1.79	1.74	7.28	4.89	1.47
25	E0	6/2/16	Man City	Leicester	1	-3	A	0	1	A	A Taylor	22	14	4	7	9	15	11	4	2	2	0	0	1.62	4.2	6	1.62	4	5.5	1.6	4	5	1.57	4	5.75	1.61	4.26	6.14	1.62	3.6	6	1.62	4.2	6	45	1.63	1.6	4.3	4.06	6.28	5.75	36	1.76	1.7	2.25	2.12	29	-1	2.03	1.99	1.91	1.86	1.6	4.29	6.21
26	E0	14/02/16	Man City	Tottenham	1	-2	A	0	0	D	M Clattenburg	19	6	4	3	12	17	7	1	1	3	0	0	2.1	3.75	3.6	2.1	3.5	3.6	1.9	3.45	3.8	2.05	3.4	3.5	2.06	3.66	3.82	2.1	3.3	3.6	2.05	3.6	3.9	45	2.1	2.06	3.79	3.53	3.9	3.61	38	1.78	1.72	2.2	2.11	28	-0.25	1.81	1.79	2.18	2.09	2.15	3.44	3.78
27	E0	2/3/16	Liverpool	Man City	3	0	H	2	0	H	M Atkinson	11	4	7	2	14	14	3	2	0	1	0	0	2.63	3.4	2.88	2.55	3.2	2.75	2.6	3.2	2.6	2.62	3.4	2.8	2.64	3.5	2.81	2.62	3.2	2.8	2.7	3.4	2.8	46	2.7	2.57	3.51	3.33	2.88	2.79	39	2	1.93	1.95	1.87	29	-0.25	2.27	2.2	1.75	1.71	2.79	3.53	2.64
28	E0	5/3/16	Man City	Aston Villa	4	0	H	0	0	D	L Mason	22	2	9	1	10	10	9	1	0	1	0	0	1.22	7	15	1.19	6.5	13	1.2	5.8	13	1.2	6.5	15	1.22	7.08	16.27	1.22	5.5	17	1.22	7	15	46	1.24	1.21	7.5	6.67	17	14.95	35	1.58	1.53	2.6	2.46	32	-2	2.11	2.04	1.9	1.82	1.19	7.99	18.14
29	E0	12/3/16	Norwich	Man City	0	0	D	0	0	D	J Moss	5	15	0	3	15	10	3	8	3	1	0	0	6	4.2	1.6	6	3.75	1.57	5.4	3.7	1.6	5.75	4	1.57	6	4.2	1.63	6	3.6	1.62	6.25	4.2	1.6	44	6.75	5.86	4.33	4	1.65	1.6	36	1.86	1.79	2.15	2.01	31	1	1.9	1.83	2.12	2.03	6.85	4.31	1.56
30	E0	20/03/16	Man City	Man United	0	-1	A	0	1	A	M Oliver	26	5	2	3	9	12	11	5	1	1	0	0	1.83	3.75	4.75	1.83	3.6	4	1.8	3.5	4.2	1.8	3.6	4.5	1.86	3.75	4.61	1.85	3.4	4.5	1.85	3.75	4.6	46	1.87	1.83	3.8	3.62	4.75	4.42	39	2	1.93	1.94	1.86	28	-0.5	1.87	1.83	2.12	2.04	2.01	3.61	4.09
31	E0	2/4/16	Bournemouth	Man City	0	-4	A	0	3	A	R Madley	11	15	2	7	9	8	4	4	0	1	0	0	3.75	3.6	2.1	3.6	3.4	2	3.6	3.3	2	3.75	3.5	2.05	3.7	3.65	2.1	3.75	3.3	2.05	3.7	3.6	2.1	45	3.75	3.62	3.71	3.5	2.13	2.05	40	1.9	1.81	2.06	1.99	29	0.5	1.87	1.82	2.11	2.06	3.94	3.72	2.01
32	E0	9/4/16	Man City	West Brom	2	-1	H	1	1	D	M Jones	13	13	4	2	10	7	8	8	0	1	0	0	1.33	5	9	1.33	5	8.75	1.37	4.6	7.5	1.33	5	10	1.35	5.42	10.72	1.33	4.8	10	1.33	5.2	10.5	47	1.37	1.33	5.42	5.08	11.5	9.94	38	1.77	1.71	2.21	2.12	30	-1.5	2.03	1.98	1.92	1.88	1.36	5.25	10.75
33	E0	16/04/16	Chelsea	Man City	0	-3	A	0	1	A	M Dean	11	11	4	8	12	15	11	3	2	3	1	0	2.75	3.4	2.7	2.4	3.4	2.75	2.6	3.2	2.6	2.75	3.3	2.75	2.72	3.54	2.7	2.7	3.1	2.7	2.7	3.5	2.7	49	2.75	2.67	3.55	3.36	2.75	2.65	41	1.91	1.84	2.06	1.96	29	0	1.98	1.93	1.97	1.92	2.61	3.55	2.81
34	E0	19/04/16	Newcastle	Man City	1	-1	D	1	1	D	K Friend	5	9	3	5	13	8	5	3	3	2	0	0	6	4.5	1.57	5.25	4.25	1.55	5.4	3.7	1.6	6	4.33	1.57	6.29	4.44	1.57	6	3.8	1.57	6.25	4.4	1.57	45	6.29	5.86	4.5	4.24	1.65	1.57	35	1.72	1.66	2.33	2.21	30	1	1.99	1.93	1.98	1.93	6.5	4.63	1.54
35	E0	23/04/16	Man City	Stoke	4	0	H	2	0	H	R Madley	11	14	6	2	8	8	9	4	0	0	0	0	1.3	6	11	1.3	5.5	8.5	1.3	5	9	1.33	5.5	10	1.31	5.91	11.67	1.33	5	9	1.33	5.4	11	46	1.33	1.3	6	5.5	11.67	10.42	34	1.69	1.62	2.45	2.26	29	-1.5	1.89	1.85	2.06	2.01	1.31	6	11.35
36	E0	1/5/16	Southampton	Man City	4	-2	H	2	1	H	A Marriner	14	6	7	5	12	9	8	2	2	1	0	0	2.8	3.4	2.7	2.7	3.4	2.6	2.65	3.3	2.5	2.62	3.3	2.62	2.73	3.44	2.75	2.75	3.1	2.7	2.7	3.5	2.7	46	2.8	2.68	3.5	3.34	2.75	2.65	39	1.93	1.87	2	1.93	27	0	1.96	1.92	1.98	1.93	2.42	3.56	3.06
37	E0	8/5/16	Man City	Arsenal	2	-2	D	1	1	D	A Taylor	14	5	3	2	16	10	7	2	2	1	0	0	2.5	3.6	2.9	2.55	3.4	2.6	2.4	3.2	2.85	2.5	3.5	2.9	2.54	3.53	2.92	2.5	3.1	2.9	2.55	3.5	2.88	48	2.56	2.48	3.6	3.43	2.95	2.81	38	1.77	1.7	2.25	2.14	28	0	1.86	1.81	2.11	2.05	2.22	3.61	3.41
38	E0	15/05/16	Swansea	Man City	1	-1	D	1	1	D	M Dean	4	18	1	5	4	19	4	4	1	3	0	0	6	4.75	1.53	5.75	4.5	1.48	7	4	1.45	6.5	4.33	1.53	6.46	4.79	1.52	5.5	4.33	1.53	5.2	4.75	1.53	50	7	6.04	4.8	4.5	1.59	1.51	36	1.58	1.53	2.6	2.45	31	1	2.14	2.05	1.85	1.81	7.05	5	1.47
