week	Div	date	home	away	scored	conceded	FTR	HTHG	HTAG	HTR	Referee	HS	AS	HST	AST	HF	AF	HC	AC	HY	AY	HR	AR	B365H	B365D	B365A	BWH	BWD	BWA	IWH	IWD	IWA	LBH	LBD	LBA	PSH	PSD	PSA	WHH	WHD	WHA	VCH	VCD	VCA	Bb1X2	BbMxH	BbAvH	BbMxD	BbAvD	BbMxA	BbAvA	BbOU	BbMx>2.5	BbAv>2.5	BbMx<2.5	BbAv<2.5	BbAH	BbAHh	BbMxAHH	BbAvAHH	BbMxAHA	BbAvAHA	PSCH	PSCD	PSCA
14	E0	28/11/15	Bournemouth	Everton	3	-3	D	0	2	A	K Friend	19	11	10	6	6	6	10	5	2	0	0	0	2.9	3.6	2.5	2.65	3.4	2.5	2.75	3.3	2.4	2.9	3.5	2.5	2.95	3.53	2.51	2.9	3.2	2.5	3	3.6	2.4	49	3	2.87	3.6	3.41	2.51	2.45	44	1.85	1.78	2.12	2.03	28	0	2.16	2.09	1.82	1.78	2.65	3.66	2.7
15	E0	7/12/15	Everton	Crystal Palace	1	-1	D	0	0	D	C Pawson	19	14	4	5	4	11	13	6	1	2	0	0	2.1	3.6	3.75	2.1	3.3	3.4	2	3.3	3.6	2	3.4	3.6	2.06	3.63	3.88	2	3.3	3.75	2.05	3.6	3.8	45	2.1	2.03	3.63	3.49	3.88	3.68	40	1.84	1.78	2.12	2.02	25	-0.25	1.79	1.75	2.18	2.12	2.14	3.43	3.83
16	E0	12/12/15	Norwich	Everton	1	-1	D	0	1	A	M Atkinson	9	15	2	3	9	6	5	4	1	0	0	0	2.9	3.5	2.55	2.8	3.3	2.55	2.65	3.3	2.5	2.9	3.4	2.5	2.92	3.56	2.52	2.9	3.2	2.5	2.9	3.5	2.55	50	3	2.85	3.6	3.4	2.55	2.48	45	1.91	1.83	2.05	1.96	27	0	2.12	2.07	1.83	1.79	3.16	3.48	2.4
17	E0	19/12/15	Everton	Leicester	2	-3	A	1	1	D	J Moss	13	10	5	5	6	14	10	2	2	1	0	0	2.1	3.75	3.6	2.1	3.4	3.3	2.1	3.3	3.3	2.05	3.6	3.4	2.07	3.8	3.65	2.1	3.3	3.5	2.1	3.7	3.6	49	2.1	2.05	3.8	3.61	3.7	3.51	43	1.67	1.62	2.4	2.27	29	-0.5	2.08	2.03	1.89	1.83	2.05	3.78	3.73
18	E0	26/12/15	Newcastle	Everton	0	-1	A	0	0	D	L Mason	10	20	1	7	16	12	1	7	2	2	0	0	3.2	3.5	2.2	3.1	3.5	2.25	2.9	3.3	2.3	3.1	3.5	2.15	3.37	3.58	2.25	3.25	3.3	2.25	3.3	3.5	2.3	49	3.4	3.24	3.65	3.45	2.3	2.22	43	1.81	1.74	2.13	2.07	29	0.25	2.03	1.96	1.94	1.89	3.62	3.61	2.14
19	E0	28/12/15	Everton	Stoke	3	-4	A	1	2	A	M Clattenburg	15	8	3	5	10	12	6	2	2	1	0	0	1.95	3.6	4.2	1.95	3.3	3.9	1.9	3.45	3.8	1.91	3.4	4	1.95	3.63	4.3	1.95	3.5	3.8	1.95	3.6	4.33	51	2	1.93	3.63	3.51	4.33	4.11	46	2.1	2.01	1.88	1.79	30	-0.5	1.95	1.91	2.01	1.95	1.83	3.72	4.85
20	E0	3/1/16	Everton	Tottenham	1	-1	D	1	1	D	M Oliver	12	19	3	4	8	11	4	4	1	2	0	0	2.8	3.5	2.63	2.7	3.4	2.6	2.6	3.2	2.6	2.62	3.4	2.6	2.78	3.59	2.62	2.7	3.1	2.7	2.75	3.6	2.6	48	2.82	2.71	3.6	3.4	2.7	2.59	43	1.8	1.73	2.19	2.08	28	0.25	1.75	1.7	2.28	2.21	2.59	3.46	2.9
21	E0	13/01/16	Man City	Everton	0	0	D	0	0	D	R East	22	7	5	2	5	6	12	5	0	1	0	0	1.53	4.75	6	1.53	4.75	5.75	1.45	4	7	1.48	4.5	6	1.52	4.88	6.44	1.53	4	6.5	1.53	4.6	6.25	48	1.53	1.5	4.9	4.56	7	6.19	38	1.55	1.48	2.76	2.59	30	-1	1.85	1.79	2.15	2.08	1.55	4.46	6.59
22	E0	16/01/16	Chelsea	Everton	3	-3	D	0	0	D	M Jones	14	9	7	4	12	5	6	4	1	1	0	0	1.83	3.75	4.75	1.83	3.8	4.4	1.75	3.5	4.5	1.75	3.6	4.5	1.81	3.97	4.65	1.75	3.5	4.8	1.8	3.9	4.75	44	1.83	1.79	3.98	3.77	4.8	4.49	42	1.86	1.78	2.12	2.03	27	-0.75	2.06	2.02	1.88	1.84	1.71	3.97	5.47
23	E0	24/01/16	Everton	Swansea	1	-2	A	1	2	A	A Taylor	20	7	2	5	5	12	7	1	0	3	0	0	1.73	3.8	5.5	1.72	3.6	4.75	1.7	3.6	4.7	1.67	3.6	5.25	1.69	3.92	5.77	1.67	3.6	5.5	1.7	3.9	5.5	46	1.75	1.68	4	3.75	5.77	5.31	41	2.04	1.95	1.91	1.86	28	-0.75	1.99	1.94	2.03	1.93	1.75	3.81	5.35
24	E0	3/2/16	Everton	Newcastle	3	0	H	1	0	H	C Pawson	18	7	7	3	8	15	3	3	1	2	0	1	1.65	4.2	5.5	1.67	3.5	5.25	1.65	3.7	4.9	1.65	4	4.75	1.68	4.27	5.23	1.67	3.8	5	1.65	4.2	5.5	48	1.72	1.65	4.36	4.03	5.5	5.12	40	1.67	1.63	2.36	2.26	31	-1	2.2	2.12	1.8	1.76	1.74	4.08	4.98
25	E0	6/2/16	Stoke	Everton	0	-3	A	0	3	A	A Marriner	11	14	3	6	11	8	6	4	1	0	0	0	2.7	3.4	2.8	2.6	3.3	2.75	2.55	3.3	2.6	2.5	3.2	2.8	2.66	3.36	2.88	2.62	3.1	2.8	2.6	3.4	2.9	45	2.75	2.6	3.47	3.28	2.92	2.79	38	2.1	1.98	1.9	1.81	26	-0.25	2.3	2.22	1.75	1.7	2.94	3.38	2.6
26	E0	13/02/16	Everton	West Brom	0	-1	A	0	1	A	M Oliver	34	5	6	1	9	12	14	1	1	3	0	0	1.53	4.2	7.5	1.53	3.9	6.25	1.6	3.7	5.4	1.5	4	6.5	1.52	4.33	7.65	1.53	3.75	7	1.53	4.2	7.5	45	1.6	1.52	4.35	4.13	7.71	6.82	38	2.02	1.92	1.95	1.88	30	-1	1.9	1.86	2.06	2	1.5	4.49	7.6
27	E0	1/3/16	Aston Villa	Everton	1	-3	A	0	2	A	R East	14	10	5	7	8	7	9	8	3	1	0	0	4.5	3.6	1.91	4.33	3.6	1.85	3.8	3.45	1.9	4.5	3.5	1.9	4.44	3.69	1.91	4.5	3.4	1.85	4.6	3.6	1.9	47	4.7	4.4	3.7	3.53	1.93	1.87	39	2.08	2	1.9	1.81	29	0.75	1.8	1.76	2.2	2.13	5.48	4.14	1.68
28	E0	5/3/16	Everton	West Ham	2	-3	A	1	0	H	A Taylor	15	17	8	5	12	13	9	6	2	3	1	0	1.73	4	5	1.7	3.6	5	1.8	3.5	4.2	1.67	3.8	5	1.71	4.11	5.17	1.75	3.5	5	1.7	4.1	5.2	47	1.8	1.7	4.2	3.91	5.25	4.93	39	1.77	1.72	2.2	2.1	31	-1	2.24	2.18	1.77	1.72	1.67	4.27	5.39
29	E0	19/03/16	Everton	Arsenal	0	-2	A	0	2	A	M Clattenburg	8	11	2	3	7	10	7	5	0	0	0	0	2.7	3.5	2.7	2.6	3.4	2.55	2.6	3.2	2.6	2.62	3.5	2.5	2.67	3.64	2.69	2.5	3.6	2.6	2.7	3.6	2.7	47	2.77	2.62	3.7	3.48	2.75	2.63	39	1.75	1.7	2.23	2.14	29	0.25	1.71	1.67	2.35	2.26	2.7	3.66	2.65
30	E0	3/4/16	Man United	Everton	1	0	H	0	0	D	A Marriner	10	7	2	1	15	6	5	5	2	0	0	0	2.1	3.5	3.75	2	3.4	3.6	1.9	3.45	3.8	2.1	3.4	3.8	2.11	3.47	3.89	2.1	3.1	3.8	2.1	3.4	3.9	46	2.13	2.06	3.51	3.38	4	3.76	38	2.13	2.05	1.83	1.76	29	-0.5	2.11	2.05	1.87	1.83	1.97	3.65	4.19
31	E0	9/4/16	Watford	Everton	1	-1	D	1	1	D	K Friend	13	12	5	7	13	10	7	6	2	1	0	0	3.4	3.3	2.15	3.4	3.25	2.15	2.95	3.1	2.4	3.3	3.3	2.15	3.47	3.41	2.28	3.5	3.25	2.15	3.5	3.4	2.25	47	3.5	3.35	3.41	3.32	2.4	2.21	38	2.16	2.08	1.83	1.74	30	0.25	2	1.95	1.96	1.91	3.55	3.55	2.19
32	E0	13/04/16	Crystal Palace	Everton	0	0	D	0	0	D	M Jones	18	9	6	5	7	9	10	7	0	1	0	1	2.9	3.4	2.6	2.95	3.2	2.4	2.95	3.1	2.4	2.9	3.3	2.4	2.89	3.48	2.59	2.8	3.1	2.6	2.9	3.4	2.6	47	2.95	2.85	3.49	3.3	2.63	2.52	39	2.04	1.97	1.91	1.83	28	0.25	1.78	1.73	2.23	2.15	2.68	3.38	2.85
33	E0	16/04/16	Everton	Southampton	1	-1	D	0	0	D	C Pawson	7	18	2	4	8	14	3	10	1	1	0	0	2.7	3.4	2.8	2.5	3.25	2.75	2.5	3.3	2.65	2.6	3.3	2.88	2.66	3.39	2.85	2.7	3.1	2.7	2.75	3.3	2.8	49	2.75	2.59	3.41	3.29	2.95	2.79	41	2.04	1.98	1.9	1.82	29	-0.25	2.29	2.19	1.73	1.7	3	3.52	2.48
34	E0	20/04/16	Liverpool	Everton	4	0	H	2	0	H	R Madley	37	3	13	0	8	11	9	1	1	1	0	1	1.73	4	5	1.7	3.75	4.75	1.75	3.5	4.5	1.67	3.8	4.75	1.7	4.13	5.22	1.7	3.6	5	1.7	4.1	5.25	44	1.75	1.69	4.3	4	5.25	4.85	34	1.77	1.72	2.21	2.12	28	-0.75	1.91	1.86	2.06	2	1.7	4.07	5.31
35	E0	30/04/16	Everton	Bournemouth	2	-1	H	1	1	D	N Swarbrick	12	16	5	2	4	8	3	5	1	0	0	0	2	3.8	3.8	2	3.6	3.7	1.9	3.45	3.8	1.95	3.6	3.6	2	3.8	3.89	2.05	3.1	4	2	3.8	3.8	46	2.05	1.98	3.81	3.67	4	3.69	36	1.69	1.62	2.4	2.27	28	-0.5	2	1.97	1.94	1.89	2.42	3.73	2.95
36	E0	7/5/16	Leicester	Everton	3	-1	H	2	0	H	A Marriner	32	9	8	5	4	12	12	4	0	3	0	0	1.91	4	4	1.83	3.5	4.25	1.9	3.45	3.8	1.9	3.75	4.2	1.91	3.98	4.07	1.91	3.2	4.33	1.87	3.9	4.2	48	1.93	1.87	4	3.74	4.33	4.06	35	1.67	1.62	2.35	2.26	29	-0.5	1.91	1.86	2.05	2	1.83	4.21	4.21
37	E0	11/5/16	Sunderland	Everton	3	0	H	2	0	H	A Taylor	14	17	8	6	15	7	5	5	1	0	0	0	1.75	4	5	1.72	3.5	5	1.55	4	5.4	1.7	3.8	4.75	1.75	4	5.05	1.73	3.5	5	1.75	4	4.8	48	1.8	1.73	4.01	3.83	5.4	4.82	38	1.76	1.71	2.25	2.11	29	-0.75	2	1.94	1.96	1.92	1.86	3.98	4.31
38	E0	15/05/16	Everton	Norwich	3	0	H	2	0	H	L Mason	15	10	8	2	7	11	4	11	0	0	0	0	1.8	4	4.5	1.75	3.8	4.33	1.85	3.45	4	1.8	4.2	4.2	1.75	4.33	4.58	1.75	3.75	4.5	1.8	3.9	4.6	49	1.85	1.75	4.33	4	4.6	4.36	35	1.63	1.58	2.45	2.34	30	-0.75	1.95	1.92	2	1.93	1.74	4.38	4.6
